Name,Description,Note,Created,Last edited time,length,Created by,Days
熱情是自我認同的核心。,"《跟TED學表達，讓世界記住你》",,"January 27, 2023 1:53 PM","May 2, 2023 2:03 PM",11,imac-fly,95
我不斷透過行動創造自我。,《我們在存在主義咖啡館：那些關於自由、哲學家與存在主義的故事》,,"October 21, 2022 11:41 PM","May 2, 2023 2:03 PM",12,imac-fly,192
用氣去聽，代表不要有自我。,《傅佩榮．經典講座：莊子》,,"December 21, 2022 7:25 PM","May 2, 2023 2:03 PM",13,imac-fly,131
真自由的關鍵就在於自我覺察。,《僧人心態》,,"June 23, 2022 11:54 AM","June 23, 2022 11:54 AM",14,imac-fly,0
真自由的關鍵就在於自我覺察。,《僧人心態》,,"June 20, 2022 8:11 PM","June 20, 2022 8:11 PM",14,imac-fly,0
邏輯思考是充滿自我意識的活動。,"《禪學入門》",,"March 29, 2023 11:40 AM","May 2, 2023 2:04 PM",15,imac-fly,34
女性比男性更容易「自我揭露」。,"《圖解女性心理學》",,"February 22, 2023 9:23 PM","April 26, 2023 12:12 PM",15,imac-fly,62
"以大腦而言，自我是流動的，","《為什麼要戀愛》",,"January 22, 2023 8:03 AM","January 22, 2023 8:03 AM",15,imac-fly,0
自我意識化解後，天地無限寬廣。,《傅佩榮．經典講座：莊子》,,"December 21, 2022 7:25 PM","May 2, 2023 9:07 AM",15,imac-fly,131
教導他人會成為最棒的自我學習。,《精神科醫師的輸入與輸出學習法》,,"June 23, 2022 8:08 AM","June 23, 2022 8:08 AM",15,imac-fly,0
生命是「具有變化的自我複製」。,《生命的一百種定義》,,"May 16, 2022 10:02 PM","May 2, 2023 1:36 PM",15,imac-fly,350
幫助孩子發展强大的「代際自我」。,"《強韌心態》",,"January 29, 2023 3:28 PM","May 2, 2023 2:05 PM",16,imac-fly,92
分享自我，因為你想聽別人的想法。,《守密》,,"November 22, 2022 1:32 PM","May 2, 2023 2:05 PM",16,imac-fly,161
太自我中心的想法，是痛苦的溫床。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 1, 2022 12:13 PM","November 1, 2022 12:13 PM",16,imac-fly,0
存在界定為選擇、行動和自我肯定。,《我們在存在主義咖啡館：那些關於自由、哲學家與存在主義的故事》,,"October 21, 2022 11:43 PM","May 2, 2023 2:05 PM",16,imac-fly,192
千萬不要讓自我懷疑變成自我毀滅。,《創作，是心靈療癒的旅程》,,"September 27, 2022 8:31 AM","September 27, 2022 8:31 AM",16,imac-fly,0
創造出一個表裡如一的「透明」自我。,"《未來預演》",,"February 19, 2023 10:04 PM","February 20, 2023 10:05 AM",17,imac-fly,0
身為藝術家的我們必須學會自我滋養。,"《創作，是心靈療癒的旅程》",,"February 7, 2023 10:22 AM","May 2, 2023 2:05 PM",17,imac-fly,84
我對死亡的恐懼源自我對生命的熱愛。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:16 PM","May 2, 2023 1:37 PM",17,imac-fly,187
習慣就是「自我改善」這件事的複利。,《原子習慣》,,"May 31, 2022 8:05 PM","May 31, 2022 8:05 PM",17,imac-fly,0
能享受安靜，全仰賴德國人的自我約束。,"《夢想德國》",,"May 2, 2023 11:41 AM","May 2, 2023 2:05 PM",18,imac-fly,0
"我們的感覺其實就等同於自我認知。","《親密無能：早熟童年的隱形代價》",,"April 30, 2023 9:39 PM","April 30, 2023 9:39 PM",18,imac-fly,0
自我並非是靜態的，而是不斷動態發展。,"《為什麼要戀愛》",,"February 19, 2023 8:47 PM","February 20, 2023 10:03 AM",18,imac-fly,0
懂得自我關懷的人擁有穩定的自我價值。,"《訓練大腦，讓自己更強大》",,"February 12, 2023 11:22 AM","May 2, 2023 2:05 PM",18,imac-fly,79
想法太過自我中心，是很多痛苦的起因。,《最後一次相遇，我們只談喜悅》,,"June 25, 2022 12:38 PM","April 28, 2023 1:31 PM",18,imac-fly,307
我的人道，是一種持續不斷的自我克制。,《而我必須是光》,,"April 11, 2022 7:15 PM","April 11, 2022 7:15 PM",18,imac-fly,0
促進孩子自我理解的最好方法就是問問題。,"《教孩子跟情緒做朋友：不是孩子不乖，而是他的左右腦處於分裂狀態！》",,"February 18, 2023 10:41 AM","February 20, 2023 9:52 AM",19,imac-fly,1
"實踐自我關懷需要力量、勇氣和信心。","《訓練大腦，讓自己更強大》",,"February 12, 2023 12:23 PM","February 12, 2023 12:23 PM",19,imac-fly,0
"惡習是自我催化的：過程會餵養自身。","《原子習慣》",,"February 1, 2023 9:40 AM","February 1, 2023 9:40 AM",19,imac-fly,0
"自我覺察的大幅提升並不是毫無壞處。","《高階覺察》",,"January 18, 2023 4:29 PM","January 18, 2023 4:29 PM",19,imac-fly,0
「嘲諷他人」和「自我貶低」是一體兩面。,《家人使用說明書》,,"July 24, 2022 12:38 PM","July 24, 2022 12:38 PM",19,imac-fly,0
在自我精進的征途上，無聊可能是大魔王。,《原子習慣》,,"July 24, 2022 8:16 AM","July 24, 2022 8:16 AM",19,imac-fly,0
具自我反思能力的生物比較有可能存活下來,《大腦不邏輯》,,"May 13, 2022 6:14 PM","May 13, 2022 6:14 PM",19,imac-fly,0
"自我意識一直都是重大社會運動的特徵。","《憤怒與希望》",,"March 11, 2023 2:27 PM","March 11, 2023 2:27 PM",20,imac-fly,0
既然風格就是你，那麼你只要忠於自我就行了,《非虛構寫作指南》,,"November 28, 2022 9:23 PM","November 28, 2022 9:23 PM",20,imac-fly,0
你們還沒有尋找過自我，因為你們發現了我。,《尼采如是說【尼采四傑作精選集】》,,"October 26, 2022 10:54 PM","May 2, 2023 2:06 PM",20,imac-fly,187
群體結果很容易操縱，因為人氣會自我增強。,《雜訊》,,"October 25, 2022 1:18 PM","October 25, 2022 1:18 PM",20,imac-fly,0
缺乏自我覺察是毒藥，反省與複查則是解藥。,《原子習慣》,,"May 28, 2022 8:15 PM","May 28, 2022 8:15 PM",20,imac-fly,0
它不是對他人的征服，而是深入自我的勇氣。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:11 PM","May 2, 2023 1:25 PM",20,imac-fly,340
讓你感受到快樂的真正原因，是你回歸了自我。,"《我需要你的愛。這是真的嗎？》",,"April 15, 2023 7:24 PM","April 28, 2023 12:46 PM",21,imac-fly,12
"對社會的適應程度愈高，對自我就愈疏離。","《愛無能的世代》",,"April 14, 2023 10:06 PM","April 14, 2023 10:06 PM",21,imac-fly,0
一致性溝通的三要素：「自我、他人、情境」。,"《薩提爾自我療癒之路》",,"April 10, 2023 10:21 AM","April 10, 2023 4:00 PM",21,imac-fly,0
"通常最棒的想法都是來自我們的預料之外。","《卡片盒筆記》",,"March 4, 2023 8:46 AM","March 4, 2023 8:46 AM",21,imac-fly,0
缺乏自我揭露，會讓伴侶或夫婦易於受到孤獨。,"《為什麼要戀愛》",,"January 22, 2023 8:05 AM","April 14, 2023 9:25 AM",21,imac-fly,82
強化自我覺察的能力，就不必再當情緒的奴隸。,《內心對話的力量》,,"July 1, 2022 3:03 PM","May 2, 2023 2:05 PM",21,imac-fly,304
我們在追求自我成長時，不小心變成自我苛求。,《最後一次相遇，我們只談喜悅》,,"June 25, 2022 12:49 PM","June 25, 2022 12:49 PM",21,imac-fly,0
詩主要是自我對話，小說則是我與別人的對話。,《獨居日記》,,"April 13, 2022 2:41 PM","May 2, 2023 2:05 PM",21,imac-fly,383
而離婚又反過來拉低了自尊，讓人失去自我認同。,"《關係結束後，成為更好的自己【薩提爾專文推薦暢銷經典版】》",,"April 15, 2023 10:40 PM","May 2, 2023 2:05 PM",22,imac-fly,16
"自我控制的技術性立場同時也關閉了自我探索","《睡眠、夢和死亡過程》",,"March 12, 2023 9:26 AM","March 12, 2023 9:26 AM",22,imac-fly,0
最不受到自我意識困擾的當屬非主流藝術家了吧。,"《當代藝術大白話》",,"January 22, 2023 3:03 PM","May 2, 2023 2:05 PM",22,imac-fly,99
"定期冥想可能有助於提升後設認知和自我覺察","《高階覺察》",,"January 18, 2023 4:37 PM","January 18, 2023 4:37 PM",22,imac-fly,0
當靈魂虛偽造作、言不由衷時，便是在自我摧殘。,《沉思錄》,,"September 16, 2022 6:48 PM","September 16, 2022 6:48 PM",22,imac-fly,0
自我對話的問題：從現有的資訊我能做什麼推論？,《胡思亂想的爆發力》,,"September 7, 2022 10:29 AM","September 7, 2022 10:29 AM",22,imac-fly,0
「哲學生活」由「自我檢驗以及檢驗他人」所構成。,"《跟蘇格拉底學思辨》",,"April 19, 2023 11:15 PM","May 1, 2023 10:28 AM",23,imac-fly,11
"世界上沒有比「追求自我幸福」更重要的事了。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:33 AM","April 5, 2023 12:33 AM",23,imac-fly,0
"注意力可以塑造自我，而自我又受注意力塑造。","《心流（繁體中文唯一全譯本，二版）》",,"February 24, 2023 5:13 PM","February 24, 2023 5:13 PM",23,imac-fly,0
改變就是你要超越記憶中自我的熟悉感來採取行動。,"《未來預演》",,"February 19, 2023 9:59 PM","February 20, 2023 10:04 AM",23,imac-fly,0
值得注意的是，自我批評對創造力的傷害特別顯著。,《創意天才的蝴蝶思考術》,,"December 28, 2022 9:04 AM","May 2, 2023 2:06 PM",23,imac-fly,125
把自己的境遇和他人串聯在一起，將自我拓及他人。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"December 26, 2022 11:14 AM","May 2, 2023 2:05 PM",23,imac-fly,127
把自己的境遇和他人串聯在一起，將自我拓及他人。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 9, 2022 12:39 PM","May 2, 2023 2:06 PM",23,imac-fly,174
無論如何先做再說，確實有助於提升「自我效能」。,《希望歌德×絕望卡夫卡的人生論》,,"October 26, 2022 2:43 PM","May 2, 2023 2:06 PM",23,imac-fly,187
RNA分子能夠在沒有外力協助的情況下自我複製。,《我們為何存在，又該如何定義自己？》,,"October 16, 2022 10:35 AM","October 16, 2022 10:35 AM",23,imac-fly,0
每次上網，我們的現實感和自我價值感就遭到扭曲。,《子彈思考整理術》,,"July 9, 2022 2:25 PM","July 9, 2022 2:25 PM",23,imac-fly,0
自拍是一種即時確認自我是否符合社會形象的活動。,《旁觀的方式》,,"May 25, 2022 3:01 PM","May 25, 2022 3:01 PM",23,imac-fly,0
我們的信念變成了社會學家所謂的「自我應驗預言」,《人慈》,,"May 22, 2022 9:18 AM","May 22, 2022 9:18 AM",23,imac-fly,0
一顆高貴的心靈既需要自我享受，又需要有人分享。,《尼采詩集星星的碎片》,,"April 11, 2022 3:19 PM","April 11, 2022 3:19 PM",23,imac-fly,0
滔滔不絕的自我表白，也可以是隱藏自己的一種手段,《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》,,"April 11, 2022 8:44 AM","April 11, 2022 8:44 AM",23,imac-fly,0
「自我」、「他人」、「情境」的順序是重要的原則。,"《薩提爾自我療癒之路》",,"April 10, 2023 10:22 AM","April 10, 2023 4:00 PM",24,imac-fly,0
陳述事實、評價和自我感受，是構成稱讚的全部要素。,"《內向者的溝通課》",,"April 8, 2023 6:42 PM","May 2, 2023 2:06 PM",24,imac-fly,23
他越是想忘掉自我，他就越是緊緊地與自我綁在一起。,《箭藝與禪心》,,"December 23, 2022 11:49 AM","December 23, 2022 11:49 AM",24,imac-fly,0
"成為界線明確、內在堅實、具有自我覺知的「我」。","《內在女性覺醒》",,"February 22, 2023 9:39 PM","February 22, 2023 9:39 PM",25,imac-fly,0
只要真實面對您當下的自我，真實的自我便會自然顯現。,"《為什麼要戀愛》",,"February 19, 2023 8:48 PM","February 20, 2023 10:03 AM",25,imac-fly,0
所有的東西要自我維護供養，都需要附加的能量和秩序。,"《必然：掌握形塑未來30年的12科技大趨力》",,"February 7, 2023 1:01 PM","May 2, 2023 2:06 PM",25,imac-fly,84
活在自己的法裡，就如同行走在一條通往自我實現的路。,《僧人心態》,,"December 24, 2022 9:50 AM","May 2, 2023 2:06 PM",25,imac-fly,129
人會透過兩種方式來展示自己的可能自我：希望和恐懼。,《真正無懼的身心防彈術》,,"September 9, 2022 8:46 AM","September 9, 2022 8:46 AM",25,imac-fly,0
因為所有的創作行為或多或少，都含有自我修補的意圖。,《身為職業小說家》,,"May 7, 2022 6:28 PM","May 7, 2022 6:28 PM",25,imac-fly,0
想像力的刺激助長了自我陶醉和擺脫社會約束的自由感受。,"《【牛津通識課06】閱讀》",,"March 28, 2023 10:56 PM","May 2, 2023 2:06 PM",26,imac-fly,34
缺乏自我揭露，會讓伴侶或夫婦易於受到孤獨的危險影響。,"《為什麼要戀愛》",,"February 19, 2023 8:49 PM","February 20, 2023 10:03 AM",26,imac-fly,0
生命的自由展示的不是全然的自我，反而是自我的有限性。,《如何獨處》,,"September 13, 2022 11:15 AM","May 2, 2023 9:08 AM",26,imac-fly,230
我們會判斷失誤，就是因為沒能將自我需求擺在第一順位。,《內心對話的力量》,,"July 1, 2022 3:04 PM","May 2, 2023 2:06 PM",26,imac-fly,304
你的訊息讓你自我感覺越好，你說服別人的可能性就越小。,《零盲點思維》,,"June 2, 2022 4:49 PM","June 2, 2022 4:49 PM",26,imac-fly,0
決定自我的不是「經驗本身」，而是「賦予經驗的意義」。,《被討厭的勇氣：自我啟發之父「阿德勒」的教導》,,"May 20, 2022 3:39 PM","May 20, 2022 3:39 PM",26,imac-fly,0
當自我控制變成一種本能的習慣，你就會享受到它的快樂。,《場外人生：運動員送給迷惘的我們20種力量》,,"May 13, 2022 6:22 PM","April 28, 2023 12:46 PM",26,imac-fly,349
親密關係中的自我揭露程度愈高，對關係的滿意度也會增加。,"《為什麼要戀愛》",,"February 19, 2023 8:49 PM","February 20, 2023 10:03 AM",27,imac-fly,0
"這樣的自我對話，正是潛意識智慧得以連結發生的路徑。","《你的夢，你的力量：潛意識工作者哈克的解夢書》",,"February 9, 2023 1:07 PM","February 9, 2023 1:07 PM",27,imac-fly,0
"數位設計師找到了自我激勵的祕訣，那就是量化和慶祝。","《給孩子火種，他們就會燃燒全宇宙》",,"February 6, 2023 4:36 PM","February 6, 2023 4:36 PM",27,imac-fly,0
