Name,Description,Note,Created,Last edited time,length,Created by,Days
我們期待的就是輕鬆自在。,《五十後的精采，來自你的行動與渴望》,,"September 27, 2022 11:51 PM","May 4, 2023 9:50 PM",12,imac-fly,218
假如他想要我卻不想，我會很自在地說「不」。,《我需要你的愛。這是真的嗎？》,,"May 26, 2022 3:40 PM","May 4, 2023 9:50 PM",21,imac-fly,343
在佛陀的教導裡，安穩與自在是涅槃的兩個特質。,《一行禪師講《入出息念經》》,,"November 24, 2022 3:56 PM","November 24, 2022 3:56 PM",22,imac-fly,0
"唯有開闊的心，才能讓你和所有的人自在相處。","《最後14堂星期二的課（20週年紀念版）》",,"April 25, 2023 10:01 AM","April 25, 2023 10:01 AM",23,imac-fly,0
不受外在規範的制約叫做自由，心境自在無礙叫做逍遙。,《微易經》,,"October 28, 2022 2:21 PM","October 28, 2022 2:21 PM",25,imac-fly,0
眼睛，看清真相；我們愈誠實，就愈能自在地面對結果。,《梅克爾傳》,,"July 17, 2022 8:54 AM","July 17, 2022 8:54 AM",25,imac-fly,0
原來心不止可以煩、可以亂、可以傷，還可以自在飛翔。,《正是時候讀莊子》,,"June 14, 2022 5:20 PM","June 14, 2022 5:20 PM",25,imac-fly,0
你的道性，隨緣自在，不用刻意造作，凡事以平常心對待。,"《聞思修禪話集》",,"March 26, 2023 9:04 PM","May 4, 2023 9:51 PM",26,imac-fly,39
要是都沒有困難，總是自在逍遙的話，人反而會抱怨更多。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 17, 2022 7:16 PM","November 17, 2022 7:16 PM",26,imac-fly,0
些一開始的不自在，有可能領你走向全新的熱情和人生目的。,《腦力全開》,,"November 10, 2022 10:49 PM","November 10, 2022 10:49 PM",27,imac-fly,0
既然被聰明女人欺騙過，和愚蠢的女人在一起讓他覺得自在。,《大文豪的童話》,,"October 26, 2022 3:27 PM","October 26, 2022 3:27 PM",27,imac-fly,0
