Name,Description,Note,Created,Last edited time,length,Created by,Days
痛苦具有令我們成長的力量。,《過得還不錯的人生》,,"September 21, 2022 2:36 PM","April 28, 2023 1:31 PM",13,imac-fly,218
唯有歷經夠多錯誤才能夠成長。,"《讓孩子心智堅定又自信的10句話》",,"March 29, 2023 12:06 PM","May 2, 2023 10:33 AM",14,imac-fly,33
長期的經濟成長是不可能實現的。,《氣候緊急時代來了》,,"October 17, 2022 1:37 PM","May 2, 2023 10:33 AM",15,imac-fly,196
自卑感可以成為努力或成長的契機。,"《被討厭的勇氣：自我啟發之父「阿德勒」的教導》",,"February 24, 2023 5:33 PM","May 2, 2023 10:33 AM",16,imac-fly,66
經濟成長，最後都會製造出更多小孩,《氣候緊急時代來了》,,"October 17, 2022 1:17 PM","October 17, 2022 1:17 PM",16,imac-fly,0
你的收入只能成長到你想要的標準。,《有錢人想的和你不一樣》,,"June 28, 2022 12:17 AM","June 28, 2022 12:17 AM",16,imac-fly,0
重要的是你們營運成長是否能跟得上估值。,"《矽谷為什麼》",,"February 13, 2023 8:06 PM","May 2, 2023 10:33 AM",19,imac-fly,77
而記住自己的無知，又是心智成長所必要的。,"《湖濱散記【當代經典《華爾登湖》全新中譯本】》",,"February 12, 2023 12:49 PM","May 2, 2023 10:33 AM",20,imac-fly,78
當我們停止成長的同時，愛便從關係裡消失。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:11 PM","April 11, 2023 6:38 PM",20,imac-fly,320
每一次掙扎、犯錯都是大腦成長的最佳時期。,《大腦解鎖》,,"April 21, 2022 7:05 PM","May 2, 2023 10:34 AM",20,imac-fly,375
我們人要是不讓任何人走進心中，就無法成長。,"《哈佛教你幸福一輩子》",,"January 30, 2023 7:35 PM","May 2, 2023 10:33 AM",21,imac-fly,91
我們在追求自我成長時，不小心變成自我苛求。,《最後一次相遇，我們只談喜悅》,,"June 25, 2022 12:49 PM","June 25, 2022 12:49 PM",21,imac-fly,0
愛乃對我們所愛者的生命及其成長的積極照顧。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 9, 2022 12:41 PM","April 11, 2023 6:38 PM",21,imac-fly,306
