Name,Description,Note,Created,Last edited time,length,Created by,Days
放寬視野可換來沉著平靜。,《最後一次相遇，我們只談喜悅》,,"June 10, 2022 2:35 PM","June 10, 2022 2:35 PM",12,imac-fly,0
養成習慣會帶來平靜，而非焦慮。,"《給孩子火種，他們就會燃燒全宇宙》",,"February 6, 2023 4:53 PM","March 24, 2023 11:04 AM",15,imac-fly,45
吸氣，我讓身體平靜。呼氣，我微笑。,"《橘子禪》",,"March 25, 2023 10:19 AM","March 26, 2023 5:18 PM",17,imac-fly,1
學會忽視是達到心靈平靜的最佳途徑。,《一週工作4小時【全新增訂版】》,,"November 20, 2022 11:47 AM","November 20, 2022 11:47 AM",17,imac-fly,0
心靈的平靜來自將心思放在身外的事物上。,《如何給自己一份無價的禮物》,,"July 13, 2022 3:40 PM","July 13, 2022 3:40 PM",19,imac-fly,0
令内心平靜，更清晰地觀照自己和這個世界。,《禪與拯救地球的藝術》,,"November 24, 2022 4:43 PM","November 24, 2022 4:43 PM",20,imac-fly,0
試著讓自己變得更平靜、更體諒、更有好奇心。,《僧人心態》,,"June 22, 2022 11:43 PM","May 4, 2023 10:02 PM",21,imac-fly,315
自由主義靠著掏空政治生活的意義使其歸於平靜。,"《大幻象》",,"January 2, 2023 4:32 PM","May 4, 2023 10:05 PM",22,imac-fly,122
擁有欣賞美的能力，是我能過得平靜而愉快的主要原因。,"《品味人生12講》",,"April 27, 2023 11:32 PM","May 4, 2023 10:02 PM",25,imac-fly,6
禪與任何文字、說法無關，而是要人當下找到平靜之處。,"《禪學入門》",,"March 29, 2023 11:38 AM","May 4, 2023 9:31 PM",25,imac-fly,36
捨棄一切欲望，無伎無求，無私無我之人，會走向平靜。,《人的宗教》,,"December 1, 2022 1:26 PM","December 1, 2022 1:26 PM",25,imac-fly,0
向人訴苦或向人傾訴心事，是維持心靈平靜的重要行為。,《高敏感者愛自己的19個練習》,,"May 1, 2022 11:10 AM","May 1, 2022 11:10 AM",25,imac-fly,0
你不應改變自己的感受，就連試著更放鬆或更平靜也不行。,《正念》,,"September 17, 2022 10:09 PM","September 17, 2022 10:09 PM",26,imac-fly,0
願你免於痛苦、願你健康、願你快樂、願你尋得平靜與喜悅。,《最後一次相遇，我們只談喜悅》,,"May 29, 2022 10:17 PM","April 28, 2023 12:47 PM",27,imac-fly,333
真正的平靜是，你的心一天二十四小時沒有恐懼，也沒有焦慮。,《平靜的心，專注的大腦》,,"October 24, 2022 6:24 PM","April 5, 2023 9:22 AM",28,imac-fly,162
跟真正想見、喜歡的人約時間直接碰面，這讓我的心情無比平靜。,"《最強睡眠法》",,"March 22, 2023 4:45 PM","May 4, 2023 10:03 PM",29,imac-fly,43
我感覺到令人難以置信的平靜。很清晰、很空，卻也很滿。感覺很神奇。,"《覺察：通往身心靈整合的科學冥想練習》",,"May 2, 2023 11:00 PM","May 4, 2023 10:02 PM",32,imac-fly,1
當我傾聽濤聲時，我便感覺到你在這海灘上許多個深晚的偉大思想的平靜。,《泰戈爾詩集》,,"December 1, 2022 4:06 PM","May 4, 2023 10:02 PM",33,imac-fly,154
"當你步行的時候，如果覺得愉快、平靜、喜悅，就是在正確的練習當中。","《橘子禪》",,"March 25, 2023 10:18 AM","March 25, 2023 10:18 AM",34,imac-fly,0
真正的成功就是退出一場永無止境的競爭，調整自己的活動，但求心靈平靜。,"《致富心態（暢銷增訂版）》",,"February 10, 2023 10:25 AM","May 4, 2023 10:04 PM",34,imac-fly,83
如果沒有過去十五年來禪修給我的專注、平靜及見解，我不可能寫出這本書。,《人類大命運》,,"June 13, 2022 11:31 PM","May 4, 2023 10:02 PM",34,imac-fly,324
人應該從自身找尋自己所需，自然的一天會非常平靜，也不必指責他偷懶閒散。,"《湖濱散記【當代經典《華爾登湖》全新中譯本】》",,"February 12, 2023 12:57 PM","April 27, 2023 3:44 PM",35,imac-fly,74
只要存在著抗拒，就沒有空間去接受；只要我們不接受，就無法擁有平靜的心。,《Headspace冥想正念手冊》,,"May 30, 2022 6:34 PM","May 30, 2022 6:34 PM",35,imac-fly,0
放下念頭與控制，轉向內心並聆聽、活在當下、定時在平靜中休息、活在信任裡。,"《我可能錯了：森林智者的最後一堂人生課》",,"January 20, 2023 6:30 PM","May 4, 2023 10:02 PM",36,imac-fly,104
"心之所以不平靜，就是不斷的被外境所牽引，或者就是自己內心對以前的事放不下。",《明公啟示錄：解密禪宗心法,,"March 29, 2023 9:54 AM","March 29, 2023 9:54 AM",39,imac-fly,0
正面的情感，像是安心、放鬆、自我肯定、成就感、意義、感謝、完成感、平靜、連結等。,《打造理想人生的習慣大全》,,"September 21, 2022 2:48 PM","September 21, 2022 2:48 PM",40,imac-fly,0
運動在對付情緒不穩方面最管用，它可以讓人恢復平靜，化解伴隨荷爾蒙變化而來的敵意。,《運動改造大腦【活化大腦4.0版】》,,"April 23, 2022 11:02 AM","May 4, 2023 10:05 PM",40,imac-fly,376
"當一個人完成艱難的登山行程回來後，他總是變得更明智、更平靜，而且從內散發光芒。","《自由的技藝》",,"March 23, 2023 1:15 PM","March 23, 2023 1:15 PM",41,imac-fly,0
放輕鬆指的就是心境沉著平靜。不要太激動，那會打亂你放鬆，太多罣礙也會破壞心靈祥和。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 9:10 AM","April 27, 2022 9:10 AM",41,imac-fly,0
我不想在驚懼之中離開這個世界。我要知道事情是怎麼著，接受它，心中平靜下來，撒手而去。,"《最後14堂星期二的課（20週年紀念版）》",,"April 25, 2023 9:51 AM","May 4, 2023 10:03 PM",42,imac-fly,9
他們借藝術和認識來尋求安寧、平靜、靜謐的海洋、自我解脫，或者迷醉、痙攣、麻痺、瘋狂。,《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》,,"October 26, 2022 11:21 PM","October 26, 2022 11:21 PM",42,imac-fly,0
對某些人來說，活在自己的法裡意味著一種平靜、自信的滿足感，其他人則會有喜悅和興奮感。,《僧人心態》,,"June 25, 2022 12:27 PM","June 25, 2022 12:27 PM",42,imac-fly,0
汲汲營營無法帶來平靜的心靈，也無法讓我們挪出更多的有限時間，用在自己最在乎的人事物上。,《人生4千個禮拜》,,"June 27, 2022 2:13 PM","June 27, 2022 2:13 PM",43,imac-fly,0
有人告訴我，停下來聆聽寂靜會帶來平靜，以及一切都有可能的感受。對我來說，我知道其言為真。,《聆聽之路》,,"September 27, 2022 6:00 PM","September 27, 2022 6:00 PM",44,imac-fly,0
與一個人獨自運動比起來，人們面對面一起運動，身體會分泌更多腦內啡，運動完也會感到更平靜。,《孤獨世紀》,,"July 8, 2022 3:17 PM","July 8, 2022 3:17 PM",44,imac-fly,0
知識優於修煉。冥想優於知識。放下行動的果實優於冥想。從放下（tyāga）可以立即獲得平靜。,《瑜伽與愛的真相》,,"April 15, 2022 2:23 PM","April 15, 2022 2:23 PM",45,imac-fly,0
"有人告訴我，停下來聆聽寂靜會帶來平靜，以及一切都有可能的感受。對我來說，我知道其言為真。","《聆聽之路》",,"February 6, 2023 5:14 PM","February 6, 2023 5:14 PM",46,imac-fly,0
"喜歡靜坐，對我一生幫助很大，它帶給我一種平靜且開放的思維，讓我思考得更清楚，更有創造性。","《原則》",,"February 2, 2023 2:26 PM","February 2, 2023 2:26 PM",46,imac-fly,0
如果我們想要研究這些令生活既複雜又豐富的感覺和情緒，水面就需要足夠平靜，才能夠好好看個清楚。,《Headspace冥想正念手冊》,,"April 20, 2022 3:29 PM","May 4, 2023 10:03 PM",46,imac-fly,379
若你能夠停止總是想要體驗快樂事物的欲望，停止對體驗到不快樂事物的恐懼，你就能夠獲得平靜的心。,《Headspace冥想正念手冊》,,"April 18, 2022 1:03 PM","April 18, 2022 1:03 PM",46,imac-fly,0
"吸氣，我讓身體平靜。			呼氣，我微笑。			安住在當下此刻，			我知道這是美妙的一刻。","《橘子禪》",,"April 16, 2023 11:17 PM","April 16, 2023 11:17 PM",47,imac-fly,0
讀《叔本華的眼淚》，對我而言，是具有強效的治療。頁復一頁，我變得更平靜，也更滿意於自己的人生。,《死亡與生命手記》,,"December 23, 2022 2:49 PM","May 4, 2023 10:03 PM",47,imac-fly,132
你的心智是否能夠常保穩定、平靜、有高度的專注力，或是經常失控，差別就在於能否提高你的覺察能力。,《Headspace冥想正念手冊》,,"June 9, 2022 6:02 PM","June 9, 2022 6:02 PM",47,imac-fly,0
