Name,Description,Note,Created,Last edited time,length,Created by,Days
人類判斷是有限制的。,《雜訊》,,"October 25, 2022 1:25 PM","May 2, 2023 9:06 AM",10,imac-fly,188
我們每天的意志力是有限的。,"《跟TED學表達，讓世界記住你》",,"January 27, 2023 5:18 PM","May 2, 2023 9:06 AM",13,imac-fly,94
"目標就是有期限的夢想。","《別自個兒用餐》",,"January 27, 2023 11:56 AM","January 27, 2023 11:56 AM",13,imac-fly,0
人生是一份有保存期限的禮物。,"《悲傷的大腦》",,"April 21, 2023 2:32 PM","May 2, 2023 9:06 AM",14,imac-fly,10
床僅限於睡眠及親密關係使用。,"《清醒夢療法》",,"March 2, 2023 1:19 AM","April 26, 2023 7:08 PM",14,imac-fly,55
注意力是一種「有限的資源」。,《人生4千個禮拜》,,"July 7, 2022 6:33 AM","May 2, 2023 9:07 AM",14,imac-fly,299
手動追蹤應該限於最重要的事。,《原子習慣》,,"June 16, 2022 3:45 PM","May 2, 2023 9:07 AM",14,imac-fly,319
當個內行門外漢，才能打破極限。,"《數據、真相與人生》",,"March 19, 2023 8:44 PM","May 2, 2023 9:07 AM",15,imac-fly,43
自我意識化解後，天地無限寬廣。,《傅佩榮．經典講座：莊子》,,"December 21, 2022 7:25 PM","May 2, 2023 9:07 AM",15,imac-fly,131
學習對你有限的控制權感到滿意。,《創造快樂大腦》,,"April 22, 2022 10:52 AM","May 2, 2023 9:07 AM",15,imac-fly,374
我們抗拒人生原本就會碰上的限制。,《人生4千個禮拜》,,"May 27, 2022 10:07 PM","May 27, 2022 10:07 PM",16,imac-fly,0
你的無限淨值就是你不工作可以撐多久。,《無限投資學》,,"April 20, 2022 5:53 PM","May 2, 2023 9:07 AM",18,imac-fly,376
"認同那個價值，但不用認同那些限制。","《我的99個私抽屜》",,"March 12, 2023 2:08 PM","March 12, 2023 2:08 PM",19,imac-fly,0
"法律創造出下限，眾人則決定了上限。","《隱性偏見》",,"January 16, 2023 7:22 PM","January 16, 2023 7:22 PM",19,imac-fly,0
感到必須按照那種講法來利用有限的時間。,《人生4千個禮拜》,,"July 8, 2022 9:18 AM","May 2, 2023 9:07 AM",19,imac-fly,297
小別確實會讓情感更密切（但僅限於親人）。,《朋友原來是天生的：鄧巴數字與友誼成功的七大支柱》,,"November 27, 2022 9:56 AM","November 27, 2022 9:56 AM",20,imac-fly,0
午睡時間以「十五到二十分鐘」為限的原則。,《越睡越瘦的睡眠聖經》,,"July 8, 2022 8:30 PM","April 28, 2023 12:34 PM",20,imac-fly,293
"你可以將發送的次數限制在每年四到六次。","《藝術家的職涯管理術》",,"January 21, 2023 8:33 PM","January 21, 2023 8:33 PM",21,imac-fly,0
你要竭盡所能爬出會榨乾你生命力的第三象限。,《僧人心態》,,"June 5, 2022 10:51 AM","June 5, 2022 10:51 AM",21,imac-fly,0
這份協議僅禁止使用，卻沒有限制研發和製造。,《世界史是化學寫成的》,,"June 4, 2022 12:19 PM","May 2, 2023 9:08 AM",21,imac-fly,331
「限制」果真是美感的來源，是文化的出發點。,《芭樂人類學》,,"May 7, 2022 6:41 PM","April 29, 2023 4:07 AM",21,imac-fly,356
"界限並沒有什麼不好，它們其實是一種祝福。","《關係目標》",,"February 15, 2023 4:11 PM","February 15, 2023 4:11 PM",22,imac-fly,0
"男人的生育期更長，被人需要的年限也更長。","《為什麼我們不想生》",,"February 9, 2023 7:28 PM","February 9, 2023 7:28 PM",22,imac-fly,0
