Name,Description,Note,Created,Last edited time,length,Created by,Days
偉大的即興藝術家都像僧侶，心中想的只有神。,《史帝芬．葛拉派里（StéphaneGrappelli，法國爵士樂大師）》,,"September 18, 2022 8:52 AM","April 28, 2023 12:53 PM",21,imac-fly,222
"花時間精進即興演講這門藝術。偉大的說故事者靠的是後天培養，不是天生如此。","《跟TED學說故事，感動全世界》",,"January 27, 2023 1:45 PM","January 27, 2023 1:45 PM",38,imac-fly,0
有能力即興是任何專家具備的特質。把多年累積的技術與洞見，應用在遇到的每個新情境。,《專家之路：從學徒到大師》,,"October 5, 2022 6:31 PM","April 28, 2023 12:53 PM",40,imac-fly,204
演員或即興演員必須接受自己的缺點，允許自己受到羞辱，否則他永遠不會真正感到「安全」。,《即興》,接受自我,"September 28, 2022 7:57 PM","January 10, 2023 12:43 AM",42,imac-fly,103
我教的是即興能力，因此我告訴他們，不必試圖控制未來，或者想「贏」；清空大腦，只需要看著。,《即興》,,"October 13, 2022 5:33 PM","October 13, 2022 5:33 PM",44,imac-fly,0
這意味著我們的偏好不見得總是穩定和固定的，而是即興的，是從大量相關的記憶中隨意構建出來的。,《選擇，不只是選擇》,,"April 21, 2022 9:57 AM","April 21, 2022 9:57 AM",45,imac-fly,0
即興的意思不是偶爾偏離應有的做事方法，反而是指有辦法以應有的方式做事。臨場的精彩表演是專家之路的亮點。,《專家之路：從學徒到大師》,,"June 2, 2022 7:59 PM","April 28, 2023 12:54 PM",51,imac-fly,329
在快速變動的情境中回應複雜的要求。簡單來講，你需要即興。你隨機應變，想辦法脫困，但即興能力不僅只如此。專家會臨場發揮。,簡單來講，你需要即興。你隨機應變，想辦法脫困，但即興能力不僅只如此。專家會臨場發揮,,"June 2, 2022 7:56 PM","April 28, 2023 12:54 PM",59,imac-fly,329
"即興而為確實是一項冒險，這與未知有關，未知所帶來的結果不一定都是好的，但是在開放嘗試、允許失誤的心態下，才有機會捕獲深刻的驚喜。

","《表演創作與演員素養》
",去開放場域是允許錯誤或驚喜,"January 10, 2023 2:57 PM","January 10, 2023 6:31 PM",68,imac-fly,0
多數受試者聽到喜歡的即興音樂，體內的多巴胺約會增加百分之六到九，這跟享用美食是差不多的水準。在極端值裡有一位受測者體內的多巴胺狂飆百分之二十一。,《傷風敗俗文化史》,,"July 12, 2022 7:46 PM","April 28, 2023 12:54 PM",72,imac-fly,289
有時候他覺得他和梅黎安彷彿花式溜冰選手，即興交談，但那靈巧流暢與協調一致的程度之高，往往讓他倆都非常詫異。她優雅地凌空躍起，不知道他會怎麼做，但他每一次都穩穩接住她。,"《正常人》",,"March 20, 2023 8:34 PM","April 28, 2023 12:54 PM",83,imac-fly,38
即興需要你留意線索並回應。你在處理緊急狀況或是疲憊、壓力過大時，注意力會縮限在單一一個點。若能把最大的鱷魚踢下船，想辦法抵達安全的地方，就能實驗並想出能撐得更久的解決之道。,航行到沒有鱷魚的地方。,,"October 5, 2022 6:30 PM","April 28, 2023 12:54 PM",86,imac-fly,204
"我會先給出很寬的選擇，如躺著、坐著或站著，在空間中移動或靜止，用音樂或不用音樂，自由即興或學習一種形式。在沒有我選擇之前，讓客戶決定環境。她選擇時，我就有了依據，一個發展的線索，一個開始。","《Authentic Movement》",,"April 19, 2023 9:57 AM","April 19, 2023 9:57 AM",96,imac-fly,0
一九七五年一月二十四日，美國爵士音樂家凱斯．傑瑞特（KeithJarrett）在科隆歌劇院（CologneOperaHouse）舉辦演奏會。那場豎立里程碑的音樂會，今日被奉為即興的傑作，載入史冊,《專家之路：從學徒到大師》,,"June 2, 2022 7:59 PM","June 2, 2022 7:59 PM",97,imac-fly,0
過去十年來，報名即興演出課程的企業領袖人數大幅增加，但不是因為他們突然喜歡上喜劇小品，而是因為他們越來越理解到，身為傑出領袖所需的深度傾聽與覺察當下等技能，在舞臺上培養的效果遠勝於在職場的會議室。,《逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證》,,"July 7, 2022 7:33 AM","April 28, 2023 12:55 PM",98,imac-fly,295
專業即興者的特徵是懂得先抵達安全的歇腳處，好好想一想下一步該怎麼做。新手會縮減專注的範圍，專家則會放大。他們回應整體的情勢，不去看單獨的元素。有時，完全不同的解決方法會突然冒出來，有時還能靈機一動。,《專家之路：從學徒到大師》,,"June 2, 2022 8:01 PM","April 28, 2023 12:55 PM",99,imac-fly,329
誰若不太嚴格地取捨，縱情於再現記憶，他也許可以成為一個比較偉大的即興創作家；但藝術上的即興創作較不如嚴肅刻苦精選而出的藝術構思。一切偉人都是偉大的工作者，不但不倦地發明，而且也不倦地拋棄、審視、修改和整理。,《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》,,"October 26, 2022 11:17 PM","October 26, 2022 11:17 PM",103,imac-fly,0
"聽眾是需要互動的，即使不說話，他們的思路、眼神也是在跟著你轉動的，需要和你有交流的。你不能把他們當白菜，要時刻想著如何和他們互動，而這個互動就是現場的節奏，所有發言，只要不是照著稿子唸，都算即興演講，就是因為你需要根據現場的情況做節奏上的調整。","《深入人心的神表達》",,"April 13, 2023 9:22 PM","April 13, 2023 9:22 PM",124,imac-fly,0
"演員的工作始終在合理化劇作家寫下的台詞、導演設定的走位、各設計者賦予的設計條件，尤其需要加入自我感情與意識的合理化……演員的職責就是得努力地把這些屬於不同創作者的想法創意，合情合理地融合在一起。而這樣的合理化能力，正是即興創作訓練的一項重點。

","《表演創作與演員素養》
",去合理化台詞動作情境成為即興創作的訓練要點,"January 10, 2023 2:56 PM","January 10, 2023 6:32 PM",125,imac-fly,0
即興靠的是長年練功，日積月累，串起本書前面章節探討的所有步驟。從苦熬與磨練階段起步，運用感官，在體制內工作。即興除了需要練習、學習聆聽、出錯後改正，還必須完成「從你到他們」的轉換。對音樂人士來講，這裡的「他們」，指的是一起演奏的其他樂手，以及台下的觀眾。,《專家之路：從學徒到大師》,,"October 5, 2022 6:24 PM","April 28, 2023 12:55 PM",127,imac-fly,204
當我開始成為一名老師時，我就很自然地反轉了我的老師所教的一切傳統。我讓演員們做鬼臉、互相羞辱、閉著眼睛跳、大喊大叫，以及用各種巧妙的方式去胡鬧。這就好像我身後有一整套關於即興教學的傳統似的。在普通的教育中，一切都是為了抑制自由發揮的能力，但是我想去發展它。,《即興》,打破傳統,"October 13, 2022 5:23 PM","January 10, 2023 12:31 AM",128,imac-fly,88
作為承擔失敗責任的交換，我要求學生為自己建立一種能盡快學習的方式。我教的是即興能力，因此我告訴他們，不必試圖控制未來，或者想「贏」；清空大腦，只需要看著。當輪到他們參加的時候，做被告知要做的就行了，然後瞧瞧會發生什麼。正是這種不試圖控制未來的決定，讓學生回到自由發揮的本性。,《即興》,,"October 13, 2022 5:32 PM","October 13, 2022 5:32 PM",137,imac-fly,0
在科隆那場音樂會上，即便碰上種種壓力，健康出狀況，身心疲憊，鋼琴等級不佳，氣憤自己的請求不被當一回事，反而讓傑瑞特拿出更驚人的本領，回應特殊狀況。傑瑞特沒有鑽牛角尖，反而放大注意力的關注範圍，甚至留意到由四個音符組成的開演提示音，把它們加進表演內容。在我心中那是最高層次的即興。,真正的大師典範,,"June 2, 2022 7:59 PM","April 28, 2023 12:55 PM",139,imac-fly,329
約書華起初會試著調整布料，但那麼做只會雪上加霜，他感覺到雙手緊張起來。最後他發現肌肉緊張是個訊號，應該暫時放下工作，換個方式思考。先不要縫了，泡杯茶。那是屬於他的安全空間。回來時，問題看起來不一樣了。情況穩定下來後，約書華便能回想師傅傳授的基本架構原則，分析問題，往回推，接著即興發揮。,《專家之路：從學徒到大師》,,"October 5, 2022 6:30 PM","April 28, 2023 12:55 PM",143,imac-fly,204
透過功能性磁振造影（fMRI）設備，這項研究確認了音樂可以觸發受測者腦中的多巴胺釋出。受試者會被催生出強烈的快感，甚至於會對喜歡的音樂產生癮頭。聽音樂可以讓多巴胺增加多少呢？沙林普爾與班諾渥伊觀察多數受試者聽到喜歡的即興音樂，體內的多巴胺約會增加百分之六到九，這跟享用美食是差不多的水準。,《傷風敗俗文化史》,,"July 12, 2022 7:54 PM","April 28, 2023 12:55 PM",144,imac-fly,289
"納粹禁止了搖擺樂，他們非常憂心，種族音樂的節奏居然如此流行：無論是哪種場合，音樂的節奏都不可以如黑人音樂般激烈（如爵士樂），演奏時也不准有個人獨秀橋段。爵士樂曲只能有百分之十的切分音，其餘必須是自然的圓滑奏。音樂裡不得有原始種族音樂裡那種歇斯底里的反覆樂句。德國人不應演奏即興重複，以免被黑人的本性影響。","《嘉年華的誕生》",,"April 12, 2023 1:39 PM","April 12, 2023 1:39 PM",154,imac-fly,0
"納粹禁止了搖擺樂，他們非常憂心，種族音樂的節奏居然如此流行：無論是哪種場合，音樂的節奏都不可以如黑人音樂般激烈（如爵士樂），演奏時也不准有個人獨秀橋段。爵士樂曲只能有百分之十的切分音，其餘必須是自然的圓滑奏。音樂裡不得有原始種族音樂裡那種歇斯底里的反覆樂句。德國人不應演奏即興重複，以免被黑人的本性影響。","《嘉年華的誕生》",,"April 10, 2023 4:54 PM","April 10, 2023 4:54 PM",154,imac-fly,0
