Name,Description,Note,Created,Last edited time,length,Created by,Days
民主從自由中求平等,《自由與平等之間》,,"November 5, 2022 10:17 PM","November 5, 2022 10:17 PM",9,imac-fly,0
擁有「共創」的自由。,"《唐鳳的破框思考力》",,"February 13, 2023 8:37 PM","May 2, 2023 7:07 PM",10,imac-fly,77
暫停，讓心真正自由。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 22, 2022 5:26 PM","May 2, 2023 7:07 PM",10,imac-fly,161
無產者與動物皆自由。,《一九八四》,,"October 13, 2022 11:23 PM","October 13, 2022 11:23 PM",10,imac-fly,0
隱私跟自由兩者密不可分。,"《區塊鏈革命》",,"February 6, 2023 10:40 PM","May 2, 2023 7:07 PM",12,imac-fly,84
尊重只能以自由作為基礎。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:12 PM","May 2, 2023 8:24 AM",12,imac-fly,361
我，就等於自身自由的體現。,《我們在存在主義咖啡館：那些關於自由、哲學家與存在主義的故事》,,"October 21, 2022 11:42 PM","May 2, 2023 7:07 PM",13,imac-fly,192
我們的自由就是對不自由宣戰。,《水舞者》,,"November 22, 2022 10:00 AM","November 22, 2022 10:00 AM",14,imac-fly,0
所謂的自由，就是被別人討厭。,《被討厭的勇氣：自我啟發之父「阿德勒」的教導》,,"September 9, 2022 8:39 AM","September 9, 2022 8:39 AM",14,imac-fly,0
真自由的關鍵就在於自我覺察。,《僧人心態》,,"June 23, 2022 11:54 AM","June 23, 2022 11:54 AM",14,imac-fly,0
增加現有連結網的流通自由度。,《人類大命運》,,"May 20, 2022 12:07 PM","May 2, 2023 7:07 PM",14,imac-fly,347
人生最大的財富，是自主和自由。,"《只工作、不上班的自主人生》",,"February 8, 2023 10:51 AM","May 2, 2023 7:07 PM",15,imac-fly,83
戰爭即和平自由即奴役無知即力量,《一九八四》,,"October 13, 2022 11:20 PM","October 13, 2022 11:20 PM",15,imac-fly,0
真正的自由是放下不想要的東西。,《僧人心態》,,"October 1, 2022 3:11 PM","May 2, 2023 7:07 PM",15,imac-fly,213
