Name,Description,Note,Created,Last edited time,length,Created by,Days
養成擁抱痛苦的習慣。,《原則》,,"November 14, 2022 2:46 PM","April 28, 2023 1:31 PM",10,imac-fly,164
掌握「起頭」的習慣。,《原子習慣》,,"May 11, 2022 2:46 PM","May 11, 2022 2:46 PM",10,imac-fly,0
減少與好習慣相關的阻力。,"《原子習慣》",,"February 17, 2023 10:20 PM","May 2, 2023 8:24 PM",12,imac-fly,73
習慣形成的過程始於試誤。,《原子習慣》,,"July 5, 2022 1:02 PM","May 2, 2023 8:25 PM",12,imac-fly,301
習慣就是身分認同的具體化,《原子習慣》,,"July 4, 2022 8:54 AM","July 4, 2022 8:54 AM",12,imac-fly,0
養成「培養新習慣」的習慣。,"《我的99個私抽屜》",,"March 10, 2023 2:24 PM","May 2, 2023 8:24 PM",13,imac-fly,53
保持懷疑常識的習慣很重要。,"《5000天後的世界》",,"February 7, 2023 12:38 PM","May 2, 2023 8:24 PM",13,imac-fly,84
去養成「培養新習慣」的習慣。,"《我的99個私抽屜》",,"March 20, 2023 10:43 AM","May 2, 2023 8:25 PM",14,Fly C,43
在新環境中比較容易改變習慣。,"《原子習慣》",,"February 23, 2023 8:32 PM","May 2, 2023 8:25 PM",14,imac-fly,67
在新環境中比較容易改變習慣。,《原子習慣》,,"September 26, 2022 8:22 AM","September 26, 2022 8:22 AM",14,imac-fly,0
在新環境中比較容易改變習慣。,《原子習慣》,,"June 9, 2022 3:35 PM","May 2, 2023 8:25 PM",14,imac-fly,327
每個習慣都應該有個自己的家。,《原子習慣》,,"June 1, 2022 11:36 PM","June 1, 2022 11:36 PM",14,imac-fly,0
"容易焦慮的人尤其習慣嘆氣。","《改變人生的最強呼吸法！》",,"March 25, 2023 9:59 AM","March 25, 2023 9:59 AM",15,imac-fly,0
養成習慣會帶來平靜，而非焦慮。,"《給孩子火種，他們就會燃燒全宇宙》",,"February 6, 2023 4:53 PM","March 24, 2023 11:04 AM",15,imac-fly,45
習慣的精髓並非擁有，而是成為。,《原子習慣》,,"September 26, 2022 8:11 AM","May 2, 2023 8:25 PM",15,imac-fly,218
有意識地養成歡迎壞消息的習慣。,《窮查理的普通常識（增修版）》,,"June 11, 2022 10:54 PM","May 2, 2023 8:26 PM",15,imac-fly,324
習慣的養成取決於頻率，而非時間。,"《原子習慣》",,"February 17, 2023 12:22 PM","May 2, 2023 8:26 PM",16,imac-fly,74
習慣的養成取決於頻率，而非時間。,《原子習慣》,,"September 26, 2022 7:50 AM","September 26, 2022 7:50 AM",16,imac-fly,0
習慣的養成取決於頻率，而非時間。,《原子習慣》,,"June 23, 2022 11:57 AM","May 2, 2023 8:26 PM",16,imac-fly,313
