Name,Description,Note,Created,Last edited time,length,Created by,Days
我們每天的意志力是有限的。,"《跟TED學表達，讓世界記住你》",,"January 27, 2023 5:18 PM","May 2, 2023 9:06 AM",13,imac-fly,94
架構和環境可以戰勝意志力和紀律。,"《聰明工作，讓你更自由》",,"February 3, 2023 12:29 PM","May 4, 2023 12:52 PM",16,imac-fly,90
意志的意思，就是「想要」的慾望、衝動。,《主題薦書：超級歪談哲學之旅》,,"July 24, 2022 8:53 AM","May 4, 2023 12:56 PM",19,imac-fly,284
意志是讓組織持續健全的所有人為因素總和。,《無限賽局》,,"May 17, 2022 7:25 AM","May 17, 2022 7:25 AM",20,imac-fly,0
世界不過是種樂器，是我們憑意志使其發聲。,《閣樓裡的哲學家》,,"April 18, 2022 5:47 AM","April 18, 2022 5:47 AM",20,imac-fly,0
意志力肌肉無力的時候，可以遵循的固定流程。,"《為什麼我們這樣生活，那樣工作？》",,"March 7, 2023 3:25 PM","May 4, 2023 12:54 PM",21,imac-fly,57
有趣跟有意義，永遠都能打敗「用意志力硬撐」。,"《卡片盒筆記》",,"March 22, 2023 11:35 AM","May 4, 2023 12:52 PM",22,imac-fly,43
數位獨裁將使人類未來再也沒有「自由意志」這件事。,"《唐鳳的破框思考力》",,"January 7, 2023 1:52 PM","May 4, 2023 12:52 PM",24,imac-fly,116
成長與改變的祕密，不是意志力，而是一群正面積極的夥伴。,《人生給的答案Ⅰ》,,"November 20, 2022 11:14 AM","January 31, 2023 8:56 AM",27,imac-fly,71
若想依照計劃前進，必須強迫自己寫作，且會耗用你的意志力。,"《卡片盒筆記》",,"March 22, 2023 11:36 AM","May 1, 2023 9:49 AM",28,imac-fly,39
意志力是一種有限的資源，很快就會耗盡，也無法長期提升太多。,"《卡片盒筆記》",,"March 22, 2023 11:35 AM","May 2, 2023 9:08 AM",29,imac-fly,40
我們應該追求的感動，把自身的力量徹底最大化的『衝創意志』。,《當失戀的我，遇上尼采》,,"April 11, 2022 4:45 PM","May 4, 2023 12:58 PM",29,imac-fly,387
檀君神話能夠強化百姓對於民族起源的認知與意志，進而凝聚民心。,"《極簡韓國史》",,"April 19, 2023 9:53 PM","May 4, 2023 12:53 PM",30,imac-fly,14
實際上還沒有科學證據顯示任何藥物、裝置或意志力能夠取代睡眠。,《為什麼要睡覺？》,,"November 12, 2022 8:08 PM","November 12, 2022 8:08 PM",30,imac-fly,0
"核心概念民粹主義有三大核心概念：人民、菁英、以及公共意志。","《民粹主義：牛津非常短講005》",,"March 30, 2023 10:03 AM","March 30, 2023 10:03 AM",31,imac-fly,0
意志力是一項有限資源，因此，在何處與何時使用，你必須先有策略。,《創意天才的蝴蝶思考術》,,"December 28, 2022 9:09 AM","December 28, 2022 9:09 AM",31,imac-fly,0
你不應該因為自己缺乏意志，而讓一個意外悲劇演變為兩、三個悲劇。,《雪球：巴菲特傳（最新增訂版）》,,"December 12, 2022 10:38 AM","May 4, 2023 12:55 PM",31,imac-fly,143
這就是『衝創意志』。把自身擁有的力量發揮到最大極限，以求生存。,《當失戀的我，遇上尼采》,,"April 11, 2022 4:43 PM","May 2, 2023 9:09 AM",31,imac-fly,385
自由意志與命定論並不矛盾，差別只是要不要充分去感受它的發生而已。,《唐鳳的破框思考力》,,"November 8, 2022 11:28 AM","May 4, 2023 12:53 PM",32,imac-fly,177
愛完全是意志和委身的行為，所以基本上愛之中的兩個人是誰並不重要。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 16, 2022 8:27 AM","June 16, 2022 8:27 AM",32,imac-fly,0
有愛統治的地方不見權力意志；在權力意志至上之處則缺乏愛。──榮格,《榮格心理學不插電講堂》,,"April 12, 2022 6:39 PM","April 12, 2022 6:39 PM",32,imac-fly,0
換個方式來解釋權力意志，那就是「自尊」，同時也可以說是「自愛」。,《讓尼采當你的心理師》,,"April 11, 2022 2:40 PM","May 4, 2023 12:53 PM",32,imac-fly,387
"但是，如果目標是要執行人民的意志，那麼民主體制正是最佳的選項。","《大失衡》",,"April 24, 2023 9:48 PM","April 24, 2023 9:48 PM",33,imac-fly,0
尼采說的權力意志，更多的是征服自己、超越自己的意志，而不是征服他人。,《主題薦書：超級歪談哲學之旅》,,"July 24, 2022 8:55 AM","May 4, 2023 12:56 PM",34,imac-fly,284
意志力受到挑戰時可以「刻意」地放慢呼吸，把每個呼吸拉長到十至十五秒。,《美國第一健身強人，給女生的科學化鍛鍊全書》,,"May 13, 2022 6:45 PM","May 4, 2023 12:53 PM",34,imac-fly,355
和未來的自己交談，有助於改變我們的思維，增加我們抗拒當前誘惑的意志力。,"《金錢心理學》",,"April 25, 2023 8:13 PM","May 4, 2023 12:55 PM",35,imac-fly,8
我們可以分辨是非，但我們不許依照自己的意志做決定。我們的生活完全受到控制。,"《在緬甸尋找喬治．歐威爾（二版）》",,"February 27, 2023 10:10 PM","May 4, 2023 12:53 PM",37,imac-fly,65
心理學的意涵同時包含了靈性、魂體、精神意志，以及一種內在存有的激活生命力。,《逃避自由》,,"November 6, 2022 2:33 PM","May 4, 2023 12:56 PM",37,imac-fly,178
