Name,Description,Note,Created,Last edited time,length,Created by,Days
在柴米油鹽醬醋茶中尋找新鮮感。,《人生4千個禮拜》,,"June 17, 2022 8:50 AM","April 28, 2023 12:59 PM",15,imac-fly,315
聚在一起喝兩小時的茶，我們沒有賺到錢，但是賺到了生命。,《我真正的家，就在當下》,,"November 25, 2022 2:14 PM","November 25, 2022 2:14 PM",27,imac-fly,0
我們不會因為椅子無法拿來煮水、泡杯好茶，就看不起椅子。,《人生4千個禮拜》,,"July 7, 2022 6:30 AM","April 28, 2023 1:00 PM",27,imac-fly,295
茶葉就算泡了兩、三次，仍有一半以上的營養保留在剩餘的茶渣裡。,《喝茶好科學》,,"April 29, 2022 5:28 PM","April 29, 2022 5:28 PM",30,imac-fly,0
"一旦結束，你就必須清空心思，留給克里德的金鳳花、茶翅椿和星星。","《Deep Work深度工作力【暢銷新裝版】》",,"March 19, 2023 10:13 PM","March 19, 2023 10:13 PM",33,imac-fly,0
"茶照喝，舞照跳。也許，就中國而言，成都真的是個最具幸福感的城市。","《洞洞舞廳》",,"March 29, 2023 11:33 PM","March 29, 2023 11:33 PM",34,imac-fly,0
"它不是在死後才獲得的境界。你現在就能觸及涅槃，透過正念地呼吸、行走以及品嘗你的茶。","《我真正的家，就在當下》",,"March 28, 2023 9:17 AM","March 28, 2023 9:17 AM",43,imac-fly,0
一行禪師舉了喝茶「念其善」的例子，而感恩的是我們的心。茶很好喝，我們喝茶時感覺很好。我們就在當下。,"《聆聽之路》",,"February 6, 2023 5:10 PM","April 28, 2023 1:00 PM",49,imac-fly,80
茶的滋味主要與決定「甜味」的胺基酸（茶胺酸）、決定「澀味」的兒茶素、決定「苦味」的咖啡因等三大要素有關。,《喝茶好科學》,,"April 29, 2022 5:27 PM","April 29, 2022 5:27 PM",52,imac-fly,0
太好了。這是我自己發明的，在峇里島的薑茶裡加入了肉桂和小豆蔻調配而成。常夏之國的人反而會在天氣熱的時候喝熱茶喔。,"《再訪！女王陛下的深夜咖啡店》",,"March 13, 2023 5:36 PM","April 28, 2023 1:00 PM",56,imac-fly,45
"禪及其特殊的品味逐漸進入寧靜藝術之路，譬如，文學、美術、茶道、烹飪、園藝、建築，最後它滲入了日本人生活的每個細節。","《武士的宗教》",,"March 26, 2023 9:32 PM","March 26, 2023 9:32 PM",59,imac-fly,0
"鼓勵孕者攝取高醣、好吸收的食物（例如果醬土司、麥片、煎餅、麵食、水果、果汁、椰子水、加糖或蜂蜜的茶、雪酪、果凍）。","《生產隊友》",,"February 13, 2023 2:20 PM","February 13, 2023 2:20 PM",59,imac-fly,0
