Name,Description,Note,Created,Last edited time,length,Created by,Days
知識＝經驗×感性,《人類大命運》,,"April 28, 2022 4:55 PM","April 28, 2022 4:55 PM",8,imac-fly,0
要對新的經驗抱持開放態度。,《人類大命運》,,"July 1, 2022 9:39 PM","April 27, 2023 3:21 PM",13,imac-fly,299
與對方的共同經驗，盡量最大化。,"《我的99個私抽屜》",,"March 10, 2023 2:28 PM","May 2, 2023 8:47 AM",15,imac-fly,52
"真理提煉自人的經驗與想像力。","《向世界出發，走回真實人生》",,"April 17, 2023 11:05 AM","April 17, 2023 11:05 AM",16,imac-fly,0
"盡量創造與議題相關的共同經驗。","《唐鳳的破框思考力》",,"February 15, 2023 10:11 AM","February 15, 2023 10:11 AM",17,imac-fly,0
好的說書人，都會加上自己的經驗談。,"《不被洗腦的思維練習》",,"February 13, 2023 11:11 PM","May 2, 2023 8:47 AM",17,imac-fly,77
察覺並接受經驗本身即有益身心健康。,"《比起喜歡自己，我有更多討厭自己的日子》",,"January 19, 2023 6:08 PM","May 2, 2023 8:47 AM",17,imac-fly,102
"閱讀能夠與自己痛苦的經驗溝通。","《去書店買個好人生》",,"January 16, 2023 2:24 PM","January 16, 2023 2:24 PM",17,imac-fly,0
你對社會競爭的期待來自過去的經驗。,《創造快樂大腦》,,"April 22, 2022 10:48 AM","May 2, 2023 8:47 AM",17,imac-fly,374
即使是畫家，經驗也不會完全來自視覺。,美格士（WalterMeigs，畫家）,,"September 20, 2022 11:35 PM","September 20, 2022 11:35 PM",18,imac-fly,0
以共同經驗、體驗到的事實做為開會前提。,"《唐鳳的破框思考力》",,"February 21, 2023 9:18 PM","May 2, 2023 8:47 AM",19,imac-fly,69
人類經驗語言的歷程較像是語言擁有人類。,"《我們的語言》",,"February 8, 2023 2:23 PM","May 2, 2023 8:47 AM",19,imac-fly,82
"每一種經驗終究都不等於「我」本身。","《比起喜歡自己，我有更多討厭自己的日子》",,"February 1, 2023 8:47 AM","February 1, 2023 8:47 AM",19,imac-fly,0
直覺是大量有條理地處理問題經驗的產物。,《超速學習》,,"November 1, 2022 11:55 PM","November 1, 2022 11:55 PM",19,imac-fly,0
文明人不過是更有經驗，更聰明的野蠻人。,《湖濱散記》,,"October 8, 2022 12:03 PM","May 2, 2023 8:47 AM",19,imac-fly,205
經驗會帶來自動化，自動化卻會抑制學習。,《逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證》,,"June 16, 2022 8:09 AM","May 2, 2023 8:47 AM",19,imac-fly,320
能動性可以從鼓勵他人分享自己的經驗開始。,"《唐鳳的破框思考力》",,"February 21, 2023 8:48 PM","May 2, 2023 8:50 AM",20,imac-fly,69
共同經驗才是讓我們開始溝通最關鍵的因素。,"《唐鳳的破框思考力》",,"February 6, 2023 12:48 PM","April 9, 2023 8:25 AM",20,imac-fly,61
"經驗與對經驗進行評論的能力是兩回事。","《高階覺察》",,"January 18, 2023 4:31 PM","January 18, 2023 4:31 PM",20,imac-fly,0
記憶不只源自經驗，也源自許多心智的交流。,《意識之川流》,,"November 1, 2022 12:20 PM","November 1, 2022 12:20 PM",20,imac-fly,0
應該重視的是他從經驗中獲得了什麼人生觀。,《克服與重生》,,"July 10, 2022 9:02 PM","July 10, 2022 9:02 PM",20,imac-fly,0
構成夢內容的全部材料或多或少來自於經驗。,《夢的解析》,,"July 10, 2022 11:07 AM","May 2, 2023 8:50 AM",20,imac-fly,295
有痛苦的經驗照亮，快樂的本質才顯得澄明。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 9:10 AM","April 28, 2023 12:46 PM",20,imac-fly,366
是將個人／家庭經驗置放在時間之流的脈絡中。,《故事．知識．權力【全新修訂版】》,,"December 23, 2022 1:43 PM","December 23, 2022 1:43 PM",21,imac-fly,0
正念就是接受「有些經驗本來就是不愉快的」。,《正念》,,"September 17, 2022 10:17 PM","September 17, 2022 10:17 PM",21,imac-fly,0
"經驗永遠不會白費，經驗是我們最好的老師。","《故事的療癒力量：敘事、隱喻、自由書寫》",,"February 8, 2023 2:49 PM","February 8, 2023 2:49 PM",22,imac-fly,0
我最喜歡的失敗經驗是讓失業這件事變得有創意。,《人生給的答案Ⅱ》,,"November 20, 2022 11:32 AM","May 2, 2023 8:51 AM",22,imac-fly,162
"每個人的知識歷程，必定是從他自己的經驗出發。","《我的99個私抽屜》",,"March 11, 2023 2:47 PM","March 11, 2023 2:47 PM",24,imac-fly,0
"『成為故事』這件事決定了我們賦予經驗的意義。","《故事的療癒力量：敘事、隱喻、自由書寫》",,"February 8, 2023 2:55 PM","February 8, 2023 2:55 PM",24,imac-fly,0
最成功的標題不說事實，而是承諾給你一次情感經驗。,《數據的假象》,,"June 9, 2022 11:06 PM","May 2, 2023 8:51 AM",24,imac-fly,326
敞開心房，接納他人具有療癒效果的希望、力量與經驗。,"《哈佛教你幸福一輩子》",,"January 30, 2023 7:36 PM","April 9, 2023 4:10 PM",25,imac-fly,68
