Name,Description,Note,Created,Last edited time,length,Created by,Days
夢想的時間表。,"《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:37 AM","May 2, 2023 1:03 PM",7,imac-fly,93
把你的時間花在夢想上。,"《反時間管理》",,"March 19, 2023 4:44 PM","May 2, 2023 1:03 PM",11,imac-fly,43
心靈在夢中回到胚胎狀態。,"《夢的解析》",,"February 18, 2023 10:56 PM","May 2, 2023 1:03 PM",12,imac-fly,72
"夢是剛剛開始的覺醒。","《夢的解析》",,"February 18, 2023 10:55 PM","February 18, 2023 10:55 PM",12,imac-fly,0
"目標就是有期限的夢想。","《別自個兒用餐》",,"January 27, 2023 11:56 AM","January 27, 2023 11:56 AM",13,imac-fly,0
夢能夠支配來自童年的材料。,《夢的解析》,,"July 10, 2022 11:10 AM","May 1, 2023 10:08 AM",13,imac-fly,294
夢的首要功能就是防止被驚醒。,"《睡眠、夢和死亡過程》",,"March 12, 2023 9:33 AM","May 2, 2023 1:03 PM",14,imac-fly,51
有所欲的思想──在夢中被客體化。,"《夢的解析》",,"February 18, 2023 10:49 PM","May 2, 2023 1:03 PM",16,imac-fly,72
痛苦的夢和焦慮的夢也是願望的實現。,"《夢的解析》",,"March 2, 2023 6:52 PM","April 5, 2023 9:22 AM",17,imac-fly,33
"清醒夢的重點不在控制，而是創造。","《清醒夢療法》",,"March 2, 2023 1:22 AM","March 2, 2023 1:22 AM",18,imac-fly,0
幾十萬年來，夢對人類一直都是有益的。,"《清醒夢療法》",,"March 2, 2023 1:18 AM","May 2, 2023 1:03 PM",18,imac-fly,61
所謂激情，也不過是較有條理的夢境而已。,"《論幸福》",,"April 5, 2023 12:26 AM","May 2, 2023 1:03 PM",19,imac-fly,27
來自意識的願望衝動有助於促進夢的產生。,"《夢的解析》",,"March 2, 2023 6:47 PM","May 2, 2023 1:03 PM",19,imac-fly,60
夢，可以是我們生活負面情緒的一個出口。,《好睡：新的睡眠科學與醫學》,,"July 8, 2022 8:48 PM","July 8, 2022 8:48 PM",19,imac-fly,0
是否每個夢都能獲得解釋呢？答案是否定的。,"《夢的解析》",,"February 18, 2023 10:54 PM","May 2, 2023 1:03 PM",20,imac-fly,72
幻想像夢一樣，必須把已知的很多常識去掉。,《自卑情結》,,"July 10, 2022 8:20 PM","May 2, 2023 1:03 PM",20,imac-fly,295
構成夢內容的全部材料或多或少來自於經驗。,《夢的解析》,,"July 10, 2022 11:07 AM","May 2, 2023 8:50 AM",20,imac-fly,295
想像力好、腦袋靈活，無論男女春夢都做得多。,《性愛的科學》,,"October 8, 2022 1:58 PM","May 2, 2023 1:03 PM",21,imac-fly,205
夢中可自由支配的記憶在清醒生活中不能憶及。,《夢的解析》,,"July 10, 2022 11:09 AM","May 1, 2023 10:28 AM",21,imac-fly,294
我們的夢實為我們之所見、所說、所欲與所為。,《夢的解析》,,"July 10, 2022 11:05 AM","May 2, 2023 1:04 PM",21,imac-fly,296
要把夢想變成工作，夢想的作用是為了讓你自由。,"《反時間管理》",,"March 19, 2023 4:38 PM","March 20, 2023 6:30 PM",22,imac-fly,1
只有在無夢的深睡，我們才可能達到真正的休息。,《好睡：新的睡眠科學與醫學》,,"July 8, 2022 8:49 PM","July 8, 2022 8:49 PM",22,imac-fly,0
