Name,Description,Note,Created,Last edited time,length,Created by,Days
與人為善永不嫌遲。,《最後14堂星期二的課（20週年紀念版）》,,"November 19, 2022 1:44 PM","May 2, 2023 8:02 PM",9,imac-fly,164
嘴角上揚能改善腦疲勞。,"《縮時睡眠 用最短時間消解疲倦》",,"March 22, 2023 4:38 PM","May 2, 2023 8:02 PM",11,imac-fly,41
善用任何可得到的同儕力量。,"《哈佛商業評論最有影響力的30篇文章》",,"March 22, 2023 12:32 PM","May 2, 2023 8:02 PM",13,imac-fly,41
多樣性也可以讓我們更友善。,《人慈》,,"May 22, 2022 9:26 AM","May 22, 2022 9:26 AM",13,imac-fly,0
人類受到冒充為善的邪惡誘惑。,《人慈》,,"July 8, 2022 3:02 PM","May 2, 2023 8:02 PM",14,imac-fly,298
眾人是殘酷的；但個人是和善的。,《泰戈爾詩集》,,"December 1, 2022 3:31 PM","December 1, 2022 3:31 PM",15,imac-fly,0
沒有比善良走了味更壞的氣味了。,《湖濱散記》,,"October 8, 2022 11:41 AM","May 2, 2023 8:02 PM",15,imac-fly,206
善護口業，不譏他過，但問己過。,《僧人心態》,,"October 1, 2022 3:21 PM","May 2, 2023 8:02 PM",15,imac-fly,213
看見對方的良善動機，而不是行為。,《順勢溝通》,,"April 30, 2022 10:15 AM","May 2, 2023 8:02 PM",16,imac-fly,367
"馬可提醒我們要為了行善而行善。","《斯多葛生活哲學55個練習》",,"February 3, 2023 11:25 AM","February 3, 2023 11:25 AM",17,imac-fly,0
善意與隨之而來的感恩會產生漣漪效應,《僧人心態》,,"July 20, 2022 7:51 AM","July 20, 2022 7:51 AM",17,imac-fly,0
還發現音樂可以改善老鼠們的高血壓。,《傷風敗俗文化史》,,"July 12, 2022 7:53 PM","July 12, 2022 7:53 PM",17,imac-fly,0
習慣就是「自我改善」這件事的複利。,《原子習慣》,,"May 31, 2022 8:05 PM","May 31, 2022 8:05 PM",17,imac-fly,0
視覺化有助於改善動作形式並減少焦慮。,"《健力三項鍛鍊全書》",,"April 28, 2023 10:47 AM","May 2, 2023 8:02 PM",18,imac-fly,4
飛鳥想這是善舉，如果把魚兒舉入高空。,《泰戈爾詩集》,,"December 1, 2022 2:29 PM","December 1, 2022 2:29 PM",18,imac-fly,0
善用「震撼療法」，拍下整理前的照片。,《怦然心動的人生整理魔法2》,,"September 18, 2022 7:39 PM","May 2, 2023 8:02 PM",18,imac-fly,226
他們因為太努力善用時間，錯過了人生。,《人生4千個禮拜》,,"May 16, 2022 3:16 PM","May 2, 2023 8:02 PM",18,imac-fly,351
改善人際關係，從學習表達和傾聽開始。,《找回專注力》,,"April 25, 2022 2:50 PM","January 31, 2023 8:51 AM",18,imac-fly,280
"我失去了表達情感、擁有善意的權利。","《異鄉人》",,"April 6, 2023 6:21 PM","April 6, 2023 6:21 PM",19,imac-fly,0
擬定目標、採取行動、實驗試誤、持續改善,"《只工作、不上班的自主人生》",,"January 12, 2023 4:40 PM","May 2, 2023 8:03 PM",19,imac-fly,110
示弱，會邀請能量，邀請善意，邀請幫助。,《底層邏輯》,,"December 25, 2022 9:45 AM","December 25, 2022 9:45 AM",19,imac-fly,0
我們善於「感受」生命甚於「理解」生命。,《生命的一百種定義》,,"October 17, 2022 1:55 PM","February 1, 2023 6:30 PM",19,imac-fly,107
這種友善對待身心的精神，是禪修的重點。,《正念》,,"September 17, 2022 10:12 PM","September 17, 2022 10:12 PM",19,imac-fly,0
說適時、真實、慈愛、饒益、善意的話語。,《僧人心態》,,"May 20, 2022 12:39 PM","May 2, 2023 8:03 PM",19,imac-fly,347
