Name,Description,Note,Created,Last edited time,length,Created by,Days
寫下你對身體各部位的感謝。,《內心對話的力量》,,"July 1, 2022 3:00 PM","March 26, 2023 5:17 PM",13,imac-fly,268
"表達感謝之情，已經變更重要了。","《我可能錯了》",,"February 17, 2023 8:13 AM","February 17, 2023 8:13 AM",17,imac-fly,0
攻擊是友好的證明，有時還是感謝的證明。,《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》,,"April 11, 2022 9:15 AM","May 2, 2023 3:19 PM",19,imac-fly,386
定期盤點人生中的好事，並且為此表達感謝。,《科學脫魯法》,,"April 21, 2022 10:11 AM","May 2, 2023 3:19 PM",20,imac-fly,376
"人被拜託，就會對感謝自己的人產生感情。","《男女溝通使用說明書》",,"February 27, 2023 10:42 AM","February 27, 2023 10:42 AM",21,imac-fly,0
"寫一張感謝函寄給自己或久未聯絡的精神導師。","《創作，是心靈療癒的旅程》",,"February 7, 2023 10:31 AM","February 7, 2023 10:31 AM",23,imac-fly,0
"其實比起為我的不足道歉，不如感謝大家的接納與包容。","《順勢溝通》",,"April 8, 2023 11:00 AM","April 8, 2023 11:00 AM",27,imac-fly,0
催產素較高的人往往會養成寫感謝卡或籌辦社交活動的習慣。,《原子習慣》,,"May 20, 2022 10:54 AM","May 2, 2023 3:19 PM",27,imac-fly,347
懷著感謝與樂觀回顧自己的人生，就能找到自己的人生目標。,《改變人生的大腦鍛鍊》,,"April 29, 2022 2:11 PM","January 11, 2023 11:21 PM",27,imac-fly,257
這種將道歉變成感謝的方式，感覺更大方，和對方的關係也會變好。,《順勢溝通》,,"April 30, 2022 10:14 AM","April 30, 2022 10:14 AM",30,imac-fly,0
"從看似無關緊要的小事中察覺「感謝」的那一刻，就能接近宇宙真理。","《去書店買個好人生》",,"January 16, 2023 2:20 PM","January 16, 2023 2:20 PM",33,imac-fly,0
"只要上位者不忘記對工作人員的感謝，工作人員的機敏就會提升好幾倍。","《男女溝通使用說明書》",,"February 27, 2023 10:54 AM","February 27, 2023 10:54 AM",34,imac-fly,0
"這些情緒出現又消失，通常痛苦結束後，伴隨而來的是強烈的感謝與連結。","《靜下來工作》",,"March 28, 2023 9:21 PM","March 28, 2023 9:21 PM",35,imac-fly,0
"我很感謝在出現睡意之前的這段時間，覺得是「上天送給我的閱讀時光。」","《去書店買個好人生》",,"January 16, 2023 2:18 PM","January 16, 2023 2:18 PM",35,imac-fly,0
越喜歡自己，越感謝和尊重自己的身體，生命能量就會提升、人格會更加鮮明。,《內心對話的力量》,,"July 1, 2022 3:01 PM","July 1, 2022 3:01 PM",35,imac-fly,0
感謝就像一股能量，如果能夠有一個指向性的對象，能夠讓這樣的能量更為精準。,《順勢溝通》,,"April 30, 2022 10:18 AM","April 30, 2022 10:18 AM",36,imac-fly,0
「獲得父母的感謝」時心靈上感受到的滿足，足以媲美「獲得父母好評（被稱讚）」。,"《讓孩子心智堅定又自信的10句話》",,"March 29, 2023 11:54 AM","May 2, 2023 3:19 PM",38,imac-fly,34
有個小建議，如果沒有做錯事，或是事情不嚴重的話，把開頭的道歉換成感謝就好了。,《順勢溝通》,,"April 30, 2022 10:14 AM","April 30, 2022 10:14 AM",38,imac-fly,0
"只要想到了，就能對各種事物表達感謝。這麼一來腦部就會發出α波，恢復腦疲勞。","《縮時睡眠 用最短時間消解疲倦》",,"March 22, 2023 4:38 PM","March 22, 2023 4:38 PM",39,imac-fly,0
"對於男人，妳希望他做什麼，就要乾脆地直說。而一旦他做到了，請務必由衷感謝。","《老公使用說明書》",,"February 26, 2023 11:11 PM","February 26, 2023 11:11 PM",39,imac-fly,0
正面的情感，像是安心、放鬆、自我肯定、成就感、意義、感謝、完成感、平靜、連結等。,《打造理想人生的習慣大全》,,"September 21, 2022 2:48 PM","September 21, 2022 2:48 PM",40,imac-fly,0
腦中的迴路就會更加鞏固，也就是「感謝」能帶來更多的情緒記憶，讓杏仁核維持好心情。,《HappyStress壓力是進化你大腦的「武器」》,,"April 20, 2022 11:04 PM","May 2, 2023 3:20 PM",40,imac-fly,376
精神伴侶之所以走進妳的生命，只是為了向妳展現妳的另一面，而後離妳而去。讓妳感謝神。,《享受吧！一個人的旅行》,,"November 2, 2022 9:13 AM","November 2, 2022 9:13 AM",41,imac-fly,0
"感謝路上的一切相遇，感謝自己的懦弱，在路上我學會了真正的擁抱自己；黑暗，也是一種力量。","《走向內在》",,"March 5, 2023 12:12 PM","March 5, 2023 12:12 PM",45,imac-fly,0
每天發文，得以使你的輸出能力急遽提升，確實自我成長。你也會被讀者或追蹤者感謝，一切都將開始順利進行。,《精神科醫師的輸入與輸出學習法》,,"November 1, 2022 12:17 PM","November 1, 2022 12:17 PM",50,imac-fly,0
"人真正要的是幸福，員工希望感受到自己的工作有意義，希望有人感謝他們的付出，而說故事可以滿足這個需求。","《跟TED學說故事，感動全世界》",,"January 27, 2023 1:44 PM","January 27, 2023 1:44 PM",52,imac-fly,0
"只要我們善用自己的優點，就能讓自己更幸福，而加強人際關係的連結──幫助朋友，感謝幫助我們的人的效果尤佳。","《象與騎象人》",,"March 4, 2023 4:52 PM","March 4, 2023 4:52 PM",54,imac-fly,0
練習感謝：在不小心陷入無止境的比較心態之前，我會先對自己所擁有的天賦表達謝意。我發現在三餐飯前祈禱是很不錯。,《最棒的一年》,,"May 7, 2022 1:52 PM","March 20, 2023 7:32 PM",54,imac-fly,317
要擺脫這種罪惡感，關鍵之一便是「接受」。坦然接受眾人的「感謝」。若能接受這份愛，你會更加輕鬆地發揮自己的領導力。,《擺脫「習慣性自責」的47個練習》,,"May 1, 2022 11:14 AM","November 28, 2022 4:43 PM",56,imac-fly,211
