Name,Description,Note,Created,Last edited time,length,Created by,Days
快樂等於現實減掉期望。,《也許你該找人聊聊》,,"May 2, 2022 10:00 AM","April 28, 2023 12:44 PM",11,imac-fly,361
我們以快樂衡量人生資本。,"《失控的正向思考》",,"March 30, 2023 12:52 PM","April 28, 2023 12:44 PM",12,imac-fly,28
不快樂的人往往最在乎自己。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"December 26, 2022 11:33 AM","April 28, 2023 12:44 PM",13,imac-fly,123
好奇心可為人帶來健康和快樂。,《人生思考題》,,"September 18, 2022 1:31 PM","September 18, 2022 1:31 PM",14,imac-fly,0
這麼聽來，你要的是有權不快樂。,《美麗新世界》,,"October 13, 2022 7:43 PM","April 28, 2023 12:44 PM",15,imac-fly,196
快樂人生所需的東西，我全有了。,《道德浪女》,,"June 13, 2022 11:57 AM","June 13, 2022 11:57 AM",15,imac-fly,0
不帶目的的學習，才是最快樂的。,《學習不會背叛你》,,"June 2, 2022 4:44 PM","June 2, 2022 4:44 PM",15,imac-fly,0
你唯一的課題就是要活著並要快樂。,《快樂的死》,,"May 3, 2022 10:06 AM","April 28, 2023 12:44 PM",16,imac-fly,360
逃避不想要的東西，並不會帶來快樂。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 9, 2022 12:42 PM","November 9, 2022 12:42 PM",17,imac-fly,0
活著不就是要快樂，而且愈快樂愈好！,《末日的逆襲》,,"May 25, 2022 12:58 PM","May 25, 2022 12:58 PM",17,imac-fly,0
快樂就是以不同的觀點看待同樣的事物。,《正念》,,"September 17, 2022 10:14 PM","September 17, 2022 10:14 PM",18,imac-fly,0
同時休假的瑞典人愈多，民眾就愈快樂。,《人生4千個禮拜》,,"May 8, 2022 9:36 PM","April 28, 2023 12:45 PM",18,imac-fly,354
過度在意自己，的確反而會讓人不快樂。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 8:48 AM","April 27, 2022 8:48 AM",18,imac-fly,0
花點時間看看你在什麼事情上尋找快樂。,《創造快樂大腦》,,"April 22, 2022 10:59 AM","April 28, 2023 12:45 PM",18,imac-fly,371
覺察珍貴的快樂元素本身就是正念的練習。,"《橘子禪》",,"March 25, 2023 10:10 AM","April 28, 2023 12:45 PM",19,imac-fly,34
"正的快樂，來自打造適合自己的人生。","《做自己的生命設計師》",,"February 2, 2023 2:08 PM","February 2, 2023 2:08 PM",19,imac-fly,0
越不純淨的意圖就越不可能帶給我們快樂。,《僧人心態》,,"December 24, 2022 9:48 AM","April 28, 2023 12:45 PM",19,imac-fly,125
