Name,Description,Note,Created,Last edited time,length,Created by,Days
開放參與，能力才能傳承。,"《唐鳳的破框思考力》",,"February 6, 2023 12:48 PM","April 27, 2023 3:21 PM",12,imac-fly,80
要對新的經驗抱持開放態度。,《人類大命運》,,"July 1, 2022 9:39 PM","April 27, 2023 3:21 PM",13,imac-fly,299
文化就是對一切的持續開放態度。,《美感的意識形態》,,"April 12, 2022 8:36 PM","April 27, 2023 3:21 PM",15,imac-fly,379
開放的心、溫暖的心是寂寞的解藥。,《最後一次相遇，我們只談喜悅》,,"May 16, 2022 2:23 PM","May 16, 2022 2:23 PM",16,imac-fly,0
學習以開放好奇的態度面對痛苦感受。,《正念》,,"October 31, 2022 3:24 PM","April 27, 2023 3:29 PM",17,imac-fly,178
混亂具有開放、讓人學習適應的本質。,《不整理的人生魔法》,,"April 19, 2022 4:30 PM","April 19, 2022 4:30 PM",17,imac-fly,0
集中的注意力、開放的覺察與慈悲心的素養。,"《覺察：通往身心靈整合的科學冥想練習》",,"March 17, 2023 4:55 PM","April 27, 2023 3:21 PM",20,imac-fly,40
如果你真的想要讓腦袋開放，先讓心開放吧。,《好人總是自以為是》,,"July 17, 2022 9:04 AM","July 17, 2022 9:04 AM",20,imac-fly,0
真正開放、促進競爭、隱私與尊重人權的網路。,"《唐鳳的破框思考力》",,"February 13, 2023 8:35 PM","April 27, 2023 3:21 PM",21,imac-fly,72
人生兩次工作大游牧：開放，全世界都是你的。,《唐鳳的破框思考力》,,"November 30, 2022 4:08 PM","April 27, 2023 3:21 PM",21,imac-fly,147
對話中有一些開放空白的空間，能夠顯示你的勇氣。,《科學脫魯法》,,"April 21, 2022 10:06 AM","April 27, 2023 3:30 PM",23,imac-fly,371
這個世界對一切事物都是全然開放，就只有對人不是。,"《改變每個人的3個狂熱夢想》",,"January 23, 2023 7:21 PM","April 27, 2023 3:29 PM",24,imac-fly,93
倘若開放性討論受到壓抑的話，機緣力就會比較低落。,《機緣力》,,"November 22, 2022 5:40 PM","November 22, 2022 5:40 PM",24,imac-fly,0
三種冥想的核心練習要素（專注、仁慈、開放的覺察）。,"《覺察：通往身心靈整合的科學冥想練習》",,"March 15, 2023 6:34 PM","April 27, 2023 3:30 PM",25,imac-fly,42
若以一顆開放的心閱讀或聽聞，法雨將會滲入我們的心田中。,"《佛陀之心》",,"March 28, 2023 10:11 AM","April 27, 2023 3:31 PM",27,imac-fly,30
對於「快樂的驚喜」保持開放的態度，已經成為我神聖的練習。,"《給孩子火種，他們就會燃燒全宇宙》",,"February 6, 2023 5:06 PM","April 27, 2023 3:31 PM",28,imac-fly,79
"人類每天平均呼吸兩萬三千次，嗅覺全開放給每個時間的你。","《嗅覺之謎》",,"April 21, 2023 3:42 PM","April 21, 2023 3:42 PM",29,imac-fly,0
開放式的藝術作品更能讓觀眾融入，根據心態去改變他們對藝術品的看法。,《設計做為藝術》,,"July 25, 2022 2:25 PM","July 25, 2022 2:25 PM",33,imac-fly,0
展現出自己開放與願意學習的心態，同時也誠實說出自己現在的想法與感受。,"《謝謝你的指教》",,"April 12, 2023 9:05 PM","April 27, 2023 3:31 PM",34,imac-fly,14
"儘量讓自己保持開放，永遠要記得諒解自己，因為你不可能馬上得到答案。","《正念練習》",,"March 28, 2023 7:44 PM","March 28, 2023 7:44 PM",35,imac-fly,0
留意到一般人根本不會多看一眼的美與差異。我的觀察能力造就我的心胸開放。,"《人類使用說明書》",,"February 26, 2023 10:43 PM","April 27, 2023 3:32 PM",35,imac-fly,59
開放且誠實地討論那些達成目標的阻礙，似乎更能讓人繼續走在正確的道路上。,《健身，也健心》,,"June 15, 2022 4:10 PM","April 27, 2023 3:32 PM",35,imac-fly,315
當下性即是一種明確的歷史意識，也是相對的對於未來、未知領域的一種開放性。,"《展覽電影》",,"January 21, 2023 8:07 PM","April 27, 2023 3:32 PM",36,imac-fly,95
再日常不過的感情事分享，到了開放／多重關係，卻可能危及工作及生活的一切。,《道德浪女》,,"April 28, 2022 7:35 AM","February 6, 2023 7:35 PM",36,imac-fly,284
"你第一次看到某樣東西時，你的注意力往往是開放的：你不知道該注意些什麼。","《【牛津通識課01】美學》",,"March 28, 2023 11:18 PM","March 28, 2023 11:18 PM",37,imac-fly,0
若自己願意開放那一點瑕疵，讓自己不完美一點點，我相信人際相處反而更輕鬆些。,《喜劇媽媽桑幽默表達學》,,"September 28, 2022 8:34 AM","September 28, 2022 8:34 AM",37,imac-fly,0
以開放的態度來學習、與人互動，別裝出一副很厲害的樣子，每個人都能得到好處。,《大腦解鎖》,,"April 21, 2022 6:40 PM","April 21, 2022 6:40 PM",37,imac-fly,0
最簡單的方法或許是寫下兩份待辦清單，一份是「開放清單」，一份是「限制清單」。,《人生4千個禮拜》,,"July 26, 2022 7:48 AM","April 27, 2023 3:32 PM",38,imac-fly,275
