Name,Description,Note,Created,Last edited time,length,Created by,Days
生活不易呀！各位。,《金錢心理學》,,"May 20, 2022 11:35 AM","May 1, 2023 10:26 AM",9,imac-fly,345
生活的節奏是有機的。,"《人生4千個禮拜》",,"January 5, 2023 2:18 PM","May 1, 2023 10:29 AM",10,imac-fly,115
我在意自己當下的生活。,"《為什麼我們不想生》",,"February 9, 2023 7:29 PM","May 1, 2023 10:26 AM",11,imac-fly,80
身體的藝術就在生活裡。,《我心我行．Salute》,,"May 2, 2022 6:04 PM","March 26, 2023 5:18 PM",11,imac-fly,327
減少生活中的小阻力或麻煩。,"《原子習慣》",,"February 17, 2023 10:20 PM","May 1, 2023 10:26 AM",13,imac-fly,72
我們的生活消耗在瑣碎之中。,《湖濱散記》,,"October 8, 2022 11:41 AM","May 1, 2023 10:26 AM",13,imac-fly,204
能改變生活的錢，我捐給社區了。,"《不當媽會怎樣？》",,"January 24, 2023 8:02 PM","April 28, 2023 1:21 PM",15,imac-fly,93
遊手好閒的生活不可能是純潔的。,《凡尼亞舅舅》,,"December 4, 2022 9:48 AM","December 4, 2022 9:48 AM",15,imac-fly,0
學會享受生活和滿足於愛的殘屑。,《愛在瘟疫蔓延時【典藏紀念版】》,,"October 29, 2022 10:34 AM","October 29, 2022 10:34 AM",15,imac-fly,0
定居生活讓我們更不信任陌生人。,《人慈》,,"July 17, 2022 9:25 AM","July 17, 2022 9:25 AM",15,imac-fly,0
詩意的旁白和精簡生活化的對白。,《編劇魂》,,"June 21, 2022 11:48 AM","May 1, 2023 10:27 AM",15,imac-fly,313
嗅覺表達能力和狩獵採集生活有關。,"《超級感官》",,"April 20, 2023 4:08 PM","May 1, 2023 10:27 AM",16,imac-fly,10
生活發生在我們的注意力聚焦之處。,"《訓練大腦，讓自己更強大》",,"February 12, 2023 11:30 AM","May 1, 2023 10:27 AM",16,imac-fly,77
"我們必須決定我們想如何生活。","《歐普拉人生指南：讓生命重新開機》",,"February 6, 2023 2:34 PM","February 6, 2023 2:34 PM",16,imac-fly,0
學著如何死亡，你就學到如何生活。,《最後14堂星期二的課（20週年紀念版）》,,"November 3, 2022 10:13 AM","January 24, 2023 7:14 PM",16,imac-fly,82
誠實的生活方式是聽從身體的聲音。,《愛在瘟疫蔓延時【典藏紀念版】》,,"October 15, 2022 6:47 PM","March 26, 2023 5:17 PM",16,imac-fly,161
要過創意的生活，千萬不能怕犯錯。,皮爾斯（JosephChiltonPearce，作家）,,"September 25, 2022 11:58 AM","September 25, 2022 11:58 AM",16,imac-fly,0
生活回歸個人，解決問題要靠集體。,《異常的正常家庭》,,"July 17, 2022 9:07 AM","May 1, 2023 10:27 AM",16,imac-fly,288
越是強化公共性，私生活就越自由。,《異常的正常家庭》,,"July 17, 2022 8:51 AM","May 1, 2023 10:27 AM",16,imac-fly,288
生活的本質就是混亂，而且不可預測。,《子彈思考整理術》,,"November 12, 2022 10:21 AM","November 12, 2022 10:21 AM",17,imac-fly,0
可以在你的生活的其他領域提供價值。,《腦力全開》,,"November 10, 2022 10:44 PM","May 1, 2023 10:27 AM",17,imac-fly,171
有時為愛失去平衡才能過平衡的生活。,《享受吧！一個人的旅行》,,"November 2, 2022 9:14 AM","November 2, 2022 9:14 AM",17,imac-fly,0
在道場裡，我們只靠必需品維持生活。,《僧人心態》,,"October 30, 2022 2:33 PM","October 30, 2022 2:33 PM",17,imac-fly,0
珍惜自己與自己的真實想法坦率生活。,《我要實現願望！怦然心動的28日吸引力課程》,,"September 18, 2022 1:46 PM","May 1, 2023 10:27 AM",17,imac-fly,224
