Name,Description,Note,Created,Last edited time,length,Created by,Days
生命就是一系列的驚奇。,《人但有追求，世界亦會指路：愛默生散文精選集》,,"December 19, 2022 12:20 PM","December 19, 2022 12:20 PM",11,imac-fly,0
人類的生命是一場追尋。,《自由(新版)》,,"November 7, 2022 5:34 PM","May 2, 2023 1:35 PM",11,imac-fly,175
生命的意義是爵士樂團。,《攀登的奧義》,,"April 11, 2022 6:59 PM","May 2, 2023 1:35 PM",11,imac-fly,385
喜歡自己，是生命的轉場。,"《陪伴心理學》",,"February 9, 2023 3:25 PM","May 2, 2023 1:36 PM",12,imac-fly,81
自信其實是對於生命的信心。,"《自信的躍進》",,"February 8, 2023 3:34 PM","May 2, 2023 1:36 PM",13,imac-fly,82
人類生命的構成就像是樂譜。,《生命中不能承受之輕【全新版】》,,"December 24, 2022 11:37 PM","May 2, 2023 1:36 PM",13,imac-fly,128
給予是在表現蓬勃的生命力。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 25, 2022 9:37 AM","May 2, 2023 1:36 PM",13,imac-fly,342
生命必須具有絕對的正面意義。,"《禪學入門》",,"March 29, 2023 11:34 AM","May 2, 2023 1:36 PM",14,imac-fly,34
哲學的使命是解釋生命的意義。,《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》,,"October 26, 2022 11:23 PM","May 2, 2023 1:36 PM",14,imac-fly,187
自殺只是承認生命「不值得」。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:22 PM","October 26, 2022 5:22 PM",14,imac-fly,0
生命和時間才是最珍貴的奢侈品。,《底層邏輯》,,"December 25, 2022 9:42 AM","December 25, 2022 9:42 AM",15,imac-fly,0
生命就是物質有辦法運算的結果。,《資訊裂變》,,"July 26, 2022 2:03 PM","May 2, 2023 1:36 PM",15,imac-fly,279
懂得張弛有度是一種生命的智慧。,《墨菲定律》,,"July 16, 2022 11:34 AM","May 2, 2023 1:36 PM",15,imac-fly,290
生命是「具有變化的自我複製」。,《生命的一百種定義》,,"May 16, 2022 10:02 PM","May 2, 2023 1:36 PM",15,imac-fly,350
因為生命沒有開始，也沒有結束。,《瑜伽與愛的真相》,,"April 15, 2022 3:51 PM","April 15, 2022 3:51 PM",15,imac-fly,0
給予行為是在表現我的蓬勃生命力。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:13 PM","May 5, 2022 1:13 PM",16,imac-fly,0
我們在他人的回憶和生命中留下什麼。,"《不當媽會怎樣？》",,"January 24, 2023 8:03 PM","May 2, 2023 1:36 PM",17,imac-fly,97
本體就是那永恆臨在的「至一生命」。,《當下的力量（全新紀念版）》,,"December 25, 2022 11:21 PM","May 2, 2023 1:42 PM",17,imac-fly,127
故事有包容性，於是能豐富個人生命。,《故事．知識．權力【全新修訂版】》,,"December 23, 2022 1:43 PM","May 2, 2023 1:36 PM",17,imac-fly,129
我對死亡的恐懼源自我對生命的熱愛。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:16 PM","May 2, 2023 1:37 PM",17,imac-fly,187
去相信，行為是個案表達生命的方式。,《減害心理治療》,,"October 19, 2022 5:12 PM","May 2, 2023 1:37 PM",17,imac-fly,194
對生命的看法是人到頭來最大的自由。,《最後一次相遇，我們只談喜悅》,,"June 7, 2022 7:32 PM","June 7, 2022 7:32 PM",17,imac-fly,0
在充滿生命騷動的世界裡過健全的生活。,《生命式》,,"November 27, 2022 3:35 PM","May 1, 2023 10:27 AM",18,imac-fly,154
