Name,Description,Note,Created,Last edited time,length,Created by,Days
哀其不幸，怒其不爭。,"《知識份子的存在與荒謬》",,"February 24, 2023 9:55 PM","April 28, 2023 1:10 PM",10,imac-fly,62
「道」就是幸福本身。,《一行禪師講《心經》》,,"November 25, 2022 2:45 PM","November 25, 2022 2:45 PM",10,imac-fly,0
人永遠可以追求幸福。,《從妳的全世界消失》,,"October 10, 2022 10:02 PM","October 10, 2022 10:02 PM",10,imac-fly,0
幸運降臨時要保持頭腦清醒。,《窮查理的普通常識（增修版）》,,"October 3, 2022 3:18 PM","April 28, 2023 1:10 PM",13,imac-fly,206
世界無比單純，人人都能幸福。,《被討厭的勇氣：自我啟發之父「阿德勒」的教導》,,"October 3, 2022 11:03 AM","April 28, 2023 1:10 PM",14,imac-fly,207
幸福只是扣除期望後得到的結果。,《致富心態》,,"November 13, 2022 7:02 AM","November 13, 2022 7:02 AM",15,imac-fly,0
我的幸福正應當使生存有意義的。,《查拉圖斯特拉如是說》,,"April 11, 2022 5:53 PM","April 28, 2023 1:10 PM",15,imac-fly,381
"我們所做的一切都是為了幸福。","《欲望分子多巴胺》",,"February 21, 2023 10:12 AM","February 21, 2023 10:12 AM",16,imac-fly,0
禁慾是一種幸福主義，而非享樂主義。,"《虛擬真實》",,"March 27, 2023 5:25 PM","April 26, 2023 8:12 PM",17,imac-fly,30
幸好，不管怎麼樣，人總是要吃飯的。,"《餐桌上的人間田野》",,"January 2, 2023 12:15 PM","April 28, 2023 1:10 PM",17,imac-fly,116
人之最後者還說：「我們發明了幸福。」,《尼釆與哲學》,,"November 28, 2022 9:42 PM","November 28, 2022 9:42 PM",18,imac-fly,0
我們都是來「地球客棧」度假的幸運兒。,《僧人心態》,,"June 22, 2022 12:40 AM","June 22, 2022 12:40 AM",18,imac-fly,0
社群網絡的建立是為了給不幸的人勇氣。,《說書人和他的閱讀處方箋》,,"May 6, 2022 6:09 PM","May 6, 2022 6:09 PM",18,imac-fly,0
愈不期望愛有所回報，幸福的機率就愈高。,"《為什麼要戀愛》",,"March 5, 2023 3:23 PM","April 26, 2023 7:52 PM",19,imac-fly,52
藉由培養注意力、覺察和意圖促進幸福安康。,"《覺察：通往身心靈整合的科學冥想練習》",,"April 21, 2023 7:54 PM","April 28, 2023 1:10 PM",20,imac-fly,6
人的不幸在於增長了悟性卻喪失靈魂的純真。,《大文豪的童話》,,"October 26, 2022 3:20 PM","October 26, 2022 3:20 PM",20,imac-fly,0
一見鍾情、兩情相悅、三生有幸、互相交融。,《人類大歷史》,,"June 10, 2022 8:27 AM","June 10, 2022 8:27 AM",20,imac-fly,0
男人的幸福是：我要。女人的幸福是：他要。,《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》,,"April 11, 2022 8:25 AM","April 28, 2023 1:10 PM",20,imac-fly,382
古往今來，眾所周知的幸福處方就是：做自己。,"《人生的行銷企劃書》",,"January 23, 2023 11:10 PM","April 28, 2023 1:11 PM",21,imac-fly,94
"很久我就不努力於幸福，只努力於工作呢！」","《查拉圖斯特拉如是說》",,"March 18, 2023 10:52 AM","March 18, 2023 10:52 AM",22,imac-fly,0
童年時期的「幸」，遠比「不幸」更能預測未來。,"《哈佛教你幸福一輩子》",,"January 30, 2023 7:22 PM","April 28, 2023 1:11 PM",22,imac-fly,87
隨著每一次有意識的呼吸，我們就能夠感到幸福。,《諦聽與愛語》,,"November 25, 2022 12:00 PM","November 25, 2022 12:00 PM",22,imac-fly,0
悅性導致對幸福的執著，變性導致對行動的執著。,《瑜伽與愛的真相》,,"April 15, 2022 2:26 PM","April 28, 2023 1:11 PM",22,imac-fly,377
我們很容易認為，幸福快樂應該是生活的預設值。,《Headspace冥想正念手冊》,,"April 15, 2022 12:32 PM","April 28, 2023 12:46 PM",22,imac-fly,378
"世界上沒有比「追求自我幸福」更重要的事了。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:33 AM","April 5, 2023 12:33 AM",23,imac-fly,0
"以書寫來表達思維能促進我們的健康和幸福感。","《打造第二大腦》",,"March 2, 2023 7:06 AM","March 2, 2023 7:06 AM",23,imac-fly,0
"關係或社群的基要價值應凌駕於個人幸福之上。","《關係的存有》",,"February 15, 2023 5:47 PM","February 15, 2023 5:47 PM",23,imac-fly,0
但要體驗到快足，最有效的還是「幸運」這種偶然。,《過得還不錯的人生》,,"September 21, 2022 2:37 PM","September 21, 2022 2:37 PM",23,imac-fly,0
有悟性的人，會把自己的幸福建立在自身的行動上。,《沉思錄》,,"May 23, 2022 6:05 PM","May 23, 2022 6:05 PM",23,imac-fly,0
"我堅信一個幸福祕訣，那就是無視於自己的脾氣。","《論幸福》",,"April 5, 2023 12:21 AM","April 5, 2023 12:21 AM",24,imac-fly,0
幸福不存在於力量和金錢中，它藏在正義與各種事中。,"《心流（繁體中文唯一全譯本，二版）》",,"March 19, 2023 1:00 PM","April 28, 2023 1:12 PM",24,imac-fly,40
"善意和好奇的態度與表現和幸福感有直接的關聯。","《訓練大腦，讓自己更強大》",,"February 26, 2023 7:45 PM","February 26, 2023 7:45 PM",24,imac-fly,0
"幸福是需要憑個人的力量去醞釀、培養與捍衛的。","《心流（繁體中文唯一全譯本，二版）》",,"February 24, 2023 5:11 PM","February 24, 2023 5:11 PM",24,imac-fly,0
體內立刻出現想要站起來手舞足蹈那種程度的幸福感。,《我一個人走走停停》,,"November 14, 2022 5:03 PM","April 28, 2023 1:11 PM",24,imac-fly,164
在不幸的那些年，總是在公共場合裝作再幸福也不過。,《愛在瘟疫蔓延時【典藏紀念版】》,,"October 29, 2022 10:34 AM","October 29, 2022 10:34 AM",24,imac-fly,0
並不是相遇，而是那顆還想跟你一起去尋找幸福的心。,《時間，才是最後的答案》,,"June 6, 2022 8:16 PM","April 28, 2023 1:11 PM",24,imac-fly,325
你由於活得好而興旺茁壯，結果你當然就感覺幸福了。,《斯多葛生活哲學55個練習》,,"April 12, 2022 9:00 PM","April 28, 2023 1:11 PM",24,imac-fly,380
"與朋友和心愛的人用餐，與幸福感的增長直接相關。","《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:33 AM","January 29, 2023 8:33 AM",25,imac-fly,0
如何運用自己的幸運」以及「應該主動賦予人生意義」。,"《只工作、不上班的自主人生》",,"January 16, 2023 5:37 PM","April 28, 2023 1:11 PM",25,imac-fly,101
在幸福之道上，每一步都應是幸福的。方法與結果為一。,《一行禪師講《心經》》,,"November 25, 2022 2:47 PM","November 25, 2022 2:47 PM",25,imac-fly,0
一旦獲得一定程度的購買力和舒適度，幸福感就會停滯。,《新游牧者之歌》,,"November 21, 2022 10:30 PM","April 28, 2023 1:11 PM",25,imac-fly,157
夫妻間回應溝通邀請的方式，對婚姻幸福有極大的影響。,《傾聽的力量》,,"November 16, 2022 9:10 AM","November 16, 2022 9:10 AM",25,imac-fly,0
能夠「一起長大」的戀人，才能夠幸福地「一起變老」。,《時間，才是最後的答案》,,"June 6, 2022 8:17 PM","June 6, 2022 8:17 PM",25,imac-fly,0
如果是悲傷，可以向外尋求安慰或想想自己擁有的幸福。,《最後一次相遇，我們只談喜悅》,,"May 29, 2022 10:15 PM","May 29, 2022 10:15 PM",25,imac-fly,0
有限的不幸就是一個具有感知能力的成年人自然的狀態。,《冬之夢─費茲傑羅短篇傑作選》,,"May 25, 2022 12:42 PM","April 27, 2023 3:40 PM",25,imac-fly,337
聽故事和說故事成為幸福和生活滿意度的兩大重要來源。,《社會大躍進》,,"May 10, 2022 5:46 PM","May 10, 2022 5:46 PM",25,imac-fly,0
要達到真正的幸福快樂，難度並不會比克服老死低得多。,《人類大命運》,,"May 3, 2022 10:38 AM","April 28, 2023 1:11 PM",25,imac-fly,360
如果是悲傷，可以向外尋求安慰或想想自己擁有的幸福。,《最後一次相遇，我們只談喜悅》,,"May 1, 2022 10:06 PM","April 28, 2023 1:11 PM",25,imac-fly,361
"在《誤會》中說的，「幸福不是一切，人還有責任。」","《品味人生12講》",,"April 27, 2023 11:29 PM","April 27, 2023 11:29 PM",26,imac-fly,0
散步時會分泌天然的火箭推進器腦內啡，幸福感因此增加。,"《聆聽之路》",,"February 6, 2023 5:10 PM","March 27, 2023 4:06 PM",26,imac-fly,48
藉由感情抒發來鬆弛抗疫引發的糾結力量，是件幸福的事。,《瘟疫》,,"June 8, 2022 8:27 AM","June 8, 2022 8:27 AM",26,imac-fly,0
你要像替自己祈求幸福一樣，祈求對方也獲得最大的幸福。,《最後一次相遇，我們只談喜悅》,,"June 7, 2022 7:23 PM","April 28, 2023 1:12 PM",26,imac-fly,324
如果人類的心從我的內在徹底消失，我應該會比較幸福吧。,《無，生命的最佳狀態》,,"May 12, 2022 9:04 AM","April 28, 2023 1:12 PM",26,imac-fly,351
"相較於情緒的強度，情緒的頻率對幸福造成的影響更大。","《在婚姻裡，可以兩個人狂歡，也要一個人暢快》",,"April 15, 2023 10:02 PM","April 15, 2023 10:02 PM",27,imac-fly,0
渴望在人世間許多的不公與不仁中保持追求愛與幸福的能力。,"《異鄉人》",,"April 6, 2023 6:34 PM","April 28, 2023 1:12 PM",27,imac-fly,21
"目標是推動數位世界，支持人類幸福而非利用人類弱點。","《禪與拯救地球的藝術》",,"March 25, 2023 7:47 PM","March 25, 2023 7:47 PM",27,imac-fly,0
不是每件讓你感到快樂的事情，都會有助於你的生存與幸福。,《戒手機:挑戰二十天重新奪回生活主權的提案》,,"October 19, 2022 6:01 PM","October 19, 2022 6:01 PM",27,imac-fly,0
列一張表，寫出至少十個理由說明你有他為伴是很幸運的事。,《道德浪女》,,"June 15, 2022 3:09 PM","February 19, 2023 7:37 PM",27,imac-fly,249
因珍愛而喚起的個人行動，讓施予者及接受者都因此備感幸福。,"《慢療》",,"February 19, 2023 12:22 PM","April 28, 2023 1:12 PM",28,imac-fly,68
